Hours_Worked_Per_Week,Employee_ID,Satisfaction_with_Remote_Work,Physical_Activity,Gender,Arbeitsplatz,Access_to_Mental_Health_Resources,Number_of_Virtual_Meetings,Company_Support_for_Remote_Work,Social_Isolation_Rating,old age,Industrie,be life story equipoise military rating,Productivity_Change,Sleep_Quality
46,EMP1049,Satisfied,Daily,Non-binary,Hybrid,Yes,10,3,3,45,Manufacturing,4,No Change,Good
47,EMP1050,Satisfied,Weekly,Non-binary,Remote,Yes,2,5,5,36,Retail,1,No Change,Good
51,EMP1051,Unsatisfied,None,Non-binary,Onsite,No,2,2,2,45,Education,2,Decrease,Average
46,EMP1052,Satisfied,None,Male,Onsite,Yes,5,2,3,40,Manufacturing,2,Increase,Poor
41,EMP1053,Unsatisfied,Daily,Male,Remote,No,12,4,4,29,IT,3,No Change,Good
29,EMP1054,Satisfied,Daily,Female,Hybrid,Yes,6,2,1,24,IT,2,No Change,Average
31,EMP1055,Neutral,Daily,Non-binary,Remote,No,1,3,5,42,IT,4,No Change,Average
25,EMP1056,Satisfied,Weekly,Female,Remote,No,4,1,3,34,Healthcare,1,Decrease,Good
60,EMP1057,Satisfied,None,Non-binary,Remote,Yes,13,5,4,40,Consulting,1,No Change,Average
28,EMP1058,Unsatisfied,Weekly,Non-binary,Remote,No,10,1,2,27,Retail,4,Decrease,Good
34,EMP1059,Neutral,Daily,Female,Remote,Yes,14,1,4,33,Finance,4,No Change,Good
35,EMP1060,Unsatisfied,Weekly,Male,Onsite,Yes,13,4,2,24,Retail,5,No Change,Good
20,EMP1061,Unsatisfied,None,Non-binary,Onsite,Yes,8,2,1,36,Manufacturing,2,Decrease,Good
26,EMP1062,Neutral,Weekly,Female,Onsite,Yes,7,2,5,45,IT,3,No Change,Poor
45,EMP1063,Unsatisfied,None,Non-binary,Hybrid,No,11,1,1,23,IT,1,Decrease,Poor
60,EMP1064,Unsatisfied,Weekly,Prefer not to say,Onsite,Yes,2,4,1,59,IT,3,Decrease,Poor
41,EMP1065,Unsatisfied,None,Male,Remote,No,0,5,3,54,Finance,5,No Change,Poor
42,EMP1066,Unsatisfied,None,Prefer not to say,Onsite,No,2,1,2,38,Consulting,5,No Change,Good
41,EMP1067,Unsatisfied,Weekly,Male,Hybrid,Yes,0,2,5,52,Education,1,Decrease,Good
23,EMP1068,Satisfied,Weekly,Male,Onsite,No,2,3,1,47,Manufacturing,1,No Change,Good
34,EMP1069,Satisfied,Weekly,Female,Onsite,No,13,2,4,44,Consulting,5,Increase,Average
53,EMP1070,Unsatisfied,Weekly,Female,Remote,Yes,6,1,4,56,Finance,4,No Change,Good
33,EMP1071,Satisfied,Weekly,Non-binary,Hybrid,Yes,2,5,3,27,Finance,5,No Change,Average
50,EMP1072,Neutral,Daily,Male,Remote,No,6,2,1,48,Education,1,No Change,Poor
41,EMP1073,Neutral,None,Prefer not to say,Hybrid,Yes,15,2,2,23,Finance,2,Decrease,Poor
48,EMP1074,Neutral,None,Non-binary,Remote,No,2,2,2,50,Healthcare,3,No Change,Good
58,EMP1075,Unsatisfied,Daily,Non-binary,Hybrid,Yes,6,3,2,50,Manufacturing,1,No Change,Good
33,EMP1076,Neutral,None,Non-binary,Onsite,Yes,5,2,4,56,Consulting,3,Decrease,Average
49,EMP1077,Neutral,Weekly,Male,Onsite,No,15,2,4,28,Education,3,Decrease,Poor
60,EMP1078,Satisfied,Daily,Non-binary,Hybrid,Yes,15,5,3,51,Consulting,2,Increase,Good
40,EMP1079,Unsatisfied,Weekly,Female,Hybrid,Yes,15,2,2,41,Education,4,No Change,Average
60,EMP1080,Neutral,None,Female,Onsite,Yes,8,4,1,23,IT,1,Increase,Good
48,EMP1081,Neutral,None,Non-binary,Hybrid,No,5,5,2,23,Manufacturing,2,Increase,Average
50,EMP1082,Unsatisfied,Weekly,Female,Remote,No,4,5,2,60,Manufacturing,1,Increase,Good
33,EMP1083,Satisfied,Daily,Male,Remote,Yes,1,4,1,26,Consulting,2,No Change,Good
45,EMP1084,Unsatisfied,None,Male,Onsite,No,15,4,3,25,Healthcare,3,No Change,Average
56,EMP1085,Satisfied,None,Male,Hybrid,Yes,5,1,4,33,Consulting,4,Decrease,Poor
31,EMP1086,Satisfied,Weekly,Male,Remote,No,0,2,2,45,Retail,2,No Change,Average
43,EMP1087,Neutral,Daily,Male,Onsite,No,12,1,3,25,IT,4,Decrease,Average
40,EMP1088,Satisfied,Daily,Female,Remote,No,9,5,3,24,Manufacturing,1,Increase,Average
34,EMP1089,Unsatisfied,Weekly,Prefer not to say,Onsite,No,13,5,3,52,IT,4,Decrease,Poor
40,EMP1090,Neutral,None,Non-binary,Remote,No,4,4,2,30,Retail,1,Decrease,Average
33,EMP1091,Unsatisfied,Weekly,Female,Remote,No,2,1,3,44,IT,4,Increase,Poor
20,EMP1092,Neutral,Weekly,Prefer not to say,Onsite,Yes,13,4,1,40,Finance,4,Decrease,Poor
34,EMP1093,Unsatisfied,Daily,Prefer not to say,Remote,No,4,3,5,31,Education,3,Increase,Average
25,EMP1094,Neutral,Daily,Non-binary,Onsite,No,14,3,5,23,Education,4,Decrease,Poor
35,EMP1095,Satisfied,None,Prefer not to say,Remote,Yes,11,5,5,49,Education,1,No Change,Good
45,EMP1096,Satisfied,None,Female,Hybrid,No,6,5,4,23,Healthcare,3,Decrease,Poor
28,EMP1097,Neutral,Daily,Male,Onsite,No,15,4,2,58,Finance,1,Decrease,Good
58,EMP1098,Neutral,Weekly,Prefer not to say,Hybrid,No,12,3,1,60,Consulting,3,Increase,Poor
23,EMP1099,Neutral,Weekly,Non-binary,Onsite,No,13,3,2,54,Manufacturing,2,No Change,Average
57,EMP1100,Unsatisfied,Daily,Female,Remote,Yes,15,3,1,27,Manufacturing,3,Decrease,Average
28,EMP1101,Satisfied,None,Prefer not to say,Remote,No,14,5,2,60,Retail,5,Decrease,Poor
50,EMP1102,Satisfied,None,Female,Hybrid,Yes,1,5,2,51,Manufacturing,2,Decrease,Average
46,EMP1103,Neutral,None,Female,Hybrid,No,5,5,1,24,Retail,4,Increase,Good
60,EMP1104,Neutral,Daily,Female,Hybrid,No,7,4,4,27,Education,3,No Change,Average
25,EMP1105,Neutral,Daily,Non-binary,Hybrid,Yes,3,5,5,30,Retail,5,No Change,Poor
45,EMP1106,Satisfied,Daily,Male,Remote,No,13,5,1,53,Healthcare,3,Decrease,Good
50,EMP1107,Unsatisfied,Weekly,Male,Remote,Yes,2,4,2,47,Education,4,Decrease,Poor
25,EMP1108,Neutral,None,Male,Onsite,No,3,4,4,31,Manufacturing,3,Increase,Good
49,EMP1109,Neutral,None,Male,Hybrid,Yes,15,5,4,35,Manufacturing,4,Decrease,Average
23,EMP1110,Satisfied,Weekly,Non-binary,Hybrid,No,4,4,5,26,Education,3,Decrease,Average
26,EMP1111,Satisfied,Weekly,Female,Onsite,No,11,2,5,43,Finance,1,No Change,Average
46,EMP1112,Satisfied,Weekly,Prefer not to say,Remote,No,1,2,4,46,Consulting,4,No Change,Average
42,EMP1113,Unsatisfied,Weekly,Non-binary,Remote,No,5,4,4,32,IT,1,Decrease,Poor
46,EMP1114,Neutral,None,Female,Remote,No,15,5,3,58,Healthcare,3,No Change,Average
29,EMP1115,Neutral,Weekly,Male,Onsite,Yes,10,2,3,35,Finance,5,No Change,Good
43,EMP1116,Satisfied,Daily,Male,Onsite,Yes,5,4,4,48,IT,2,Increase,Average
33,EMP1117,Neutral,None,Non-binary,Onsite,Yes,7,2,4,42,Education,4,Increase,Average
24,EMP1118,Unsatisfied,None,Non-binary,Remote,Yes,14,1,2,36,Healthcare,1,Decrease,Average
30,EMP1119,Neutral,Weekly,Male,Remote,No,8,5,3,60,Education,2,Increase,Good
29,EMP1120,Satisfied,None,Male,Onsite,Yes,1,3,5,24,Healthcare,5,Decrease,Average
23,EMP1121,Satisfied,Weekly,Male,Hybrid,Yes,2,2,2,35,Finance,5,Increase,Poor
43,EMP1122,Satisfied,Weekly,Female,Onsite,Yes,9,1,4,57,Consulting,5,No Change,Poor
28,EMP1123,Satisfied,None,Male,Hybrid,Yes,4,1,3,54,Consulting,5,Decrease,Poor
22,EMP1124,Satisfied,Weekly,Male,Hybrid,No,11,3,2,52,Retail,3,Increase,Good
58,EMP1125,Unsatisfied,None,Female,Onsite,Yes,10,5,4,51,Education,4,Decrease,Average
39,EMP1126,Satisfied,None,Male,Hybrid,No,10,5,2,33,Consulting,1,Decrease,Average
49,EMP1127,Satisfied,Daily,Non-binary,Onsite,No,8,5,2,53,Healthcare,5,No Change,Good
39,EMP1128,Neutral,Daily,Non-binary,Onsite,Yes,10,1,4,39,Education,1,Decrease,Poor
39,EMP1129,Satisfied,Weekly,Non-binary,Hybrid,No,7,1,3,56,Healthcare,3,Increase,Poor
36,EMP1130,Unsatisfied,None,Prefer not to say,Hybrid,No,1,4,2,26,Healthcare,5,Increase,Average
22,EMP1131,Satisfied,Weekly,Prefer not to say,Hybrid,No,9,4,2,52,IT,4,No Change,Average
53,EMP1132,Unsatisfied,None,Prefer not to say,Remote,No,8,5,3,47,Retail,3,Increase,Good
26,EMP1133,Unsatisfied,None,Female,Remote,Yes,7,3,4,59,Retail,2,Increase,Average
24,EMP1134,Unsatisfied,None,Non-binary,Onsite,Yes,15,4,4,27,Education,5,No Change,Average
47,EMP1135,Satisfied,None,Female,Hybrid,Yes,12,3,4,23,Retail,4,No Change,Good
43,EMP1136,Satisfied,Weekly,Prefer not to say,Onsite,Yes,14,2,2,22,Consulting,5,Decrease,Poor
56,EMP1137,Neutral,Daily,Non-binary,Onsite,Yes,3,4,1,22,Education,5,Decrease,Average
52,EMP1138,Unsatisfied,Weekly,Female,Onsite,Yes,0,1,1,28,Finance,4,Increase,Poor
35,EMP1139,Neutral,Weekly,Prefer not to say,Hybrid,No,10,5,1,36,Retail,5,No Change,Average
36,EMP1140,Neutral,Weekly,Non-binary,Remote,Yes,11,1,1,52,IT,5,Decrease,Good
25,EMP1141,Unsatisfied,Daily,Male,Remote,Yes,9,3,2,57,Healthcare,2,Increase,Good
54,EMP1142,Neutral,None,Prefer not to say,Hybrid,No,11,3,1,59,IT,1,Decrease,Average
52,EMP1143,Satisfied,Daily,Prefer not to say,Onsite,Yes,6,5,1,22,Consulting,3,No Change,Good
23,EMP1144,Satisfied,None,Female,Remote,Yes,13,1,1,49,Retail,5,No Change,Poor
57,EMP1145,Unsatisfied,None,Prefer not to say,Onsite,No,15,1,4,42,Manufacturing,4,Decrease,Average
50,EMP1146,Satisfied,Daily,Male,Hybrid,No,10,4,5,35,Retail,3,No Change,Good
59,EMP1147,Unsatisfied,Daily,Non-binary,Hybrid,Yes,8,1,4,60,Retail,1,No Change,Poor
30,EMP1148,Satisfied,Daily,Non-binary,Remote,Yes,8,2,4,22,Finance,3,Decrease,Average
20,EMP1149,Neutral,Weekly,Male,Hybrid,Yes,4,4,1,30,Consulting,3,Increase,Good
51,EMP1150,Satisfied,None,Male,Remote,No,1,3,5,57,Education,5,No Change,Average
58,EMP1151,Unsatisfied,Daily,Male,Hybrid,Yes,12,5,1,50,Healthcare,3,Increase,Good
36,EMP1152,Neutral,Weekly,Non-binary,Onsite,No,14,5,4,26,Healthcare,1,No Change,Average
33,EMP1153,Neutral,Weekly,Non-binary,Hybrid,No,4,2,1,49,Consulting,5,Increase,Poor
58,EMP1154,Neutral,Daily,Prefer not to say,Onsite,No,12,2,4,48,Consulting,3,No Change,Average
27,EMP1155,Neutral,Daily,Prefer not to say,Remote,No,7,4,4,48,Healthcare,2,Increase,Average
45,EMP1156,Unsatisfied,Weekly,Male,Remote,Yes,12,2,3,58,IT,2,Increase,Poor
58,EMP1157,Unsatisfied,Weekly,Female,Hybrid,No,5,4,2,59,Manufacturing,1,Decrease,Good
37,EMP1158,Unsatisfied,None,Non-binary,Onsite,Yes,7,4,1,28,Finance,1,Increase,Good
59,EMP1159,Neutral,None,Prefer not to say,Remote,No,1,5,4,34,Retail,2,No Change,Poor
35,EMP1160,Neutral,Daily,Male,Onsite,Yes,3,1,2,42,IT,3,Increase,Average
31,EMP1161,Unsatisfied,Weekly,Prefer not to say,Remote,No,1,4,1,34,Retail,1,Increase,Average
44,EMP1162,Neutral,Weekly,Male,Onsite,No,2,2,3,56,Retail,3,Decrease,Good
42,EMP1163,Neutral,Daily,Male,Onsite,Yes,7,5,3,28,Healthcare,2,No Change,Average
27,EMP1164,Satisfied,Daily,Prefer not to say,Onsite,No,1,1,2,53,Consulting,1,Decrease,Poor
39,EMP1165,Unsatisfied,Weekly,Non-binary,Hybrid,Yes,7,2,5,60,Healthcare,1,No Change,Poor
45,EMP1166,Neutral,None,Male,Remote,No,5,2,3,31,Healthcare,1,Increase,Good
59,EMP1167,Unsatisfied,None,Male,Onsite,No,7,2,4,22,Retail,3,Decrease,Good
42,EMP1168,Neutral,None,Non-binary,Remote,Yes,15,4,3,31,Manufacturing,2,No Change,Poor
55,EMP1169,Neutral,Weekly,Female,Hybrid,Yes,5,3,4,40,Retail,2,No Change,Average
41,EMP1170,Unsatisfied,Weekly,Prefer not to say,Onsite,No,15,5,2,54,IT,5,Decrease,Poor
37,EMP1171,Neutral,None,Non-binary,Onsite,Yes,9,3,4,35,Consulting,3,No Change,Average
30,EMP1172,Satisfied,None,Non-binary,Remote,Yes,6,2,5,48,Manufacturing,3,No Change,Poor
58,EMP1173,Satisfied,None,Female,Onsite,Yes,8,4,5,38,Education,3,Decrease,Poor
36,EMP1174,Neutral,None,Non-binary,Hybrid,No,7,3,4,56,Finance,2,Decrease,Good
41,EMP1175,Unsatisfied,None,Non-binary,Remote,No,8,1,4,24,Healthcare,2,No Change,Poor
29,EMP1176,Neutral,None,Non-binary,Remote,No,5,1,4,30,Finance,1,Increase,Good
31,EMP1177,Satisfied,None,Female,Hybrid,No,11,3,5,28,Healthcare,4,No Change,Good
39,EMP1178,Neutral,None,Prefer not to say,Remote,Yes,7,4,2,27,Retail,5,Increase,Good
33,EMP1179,Unsatisfied,None,Non-binary,Onsite,No,7,3,4,23,IT,4,Increase,Good
45,EMP1180,Unsatisfied,None,Female,Onsite,Yes,11,2,2,48,Retail,5,No Change,Average
39,EMP1181,Neutral,Daily,Non-binary,Onsite,No,1,5,2,56,Healthcare,3,Increase,Average
40,EMP1182,Satisfied,Weekly,Prefer not to say,Remote,No,14,1,4,38,Finance,1,Decrease,Good
49,EMP1183,Unsatisfied,None,Non-binary,Hybrid,No,0,4,2,57,IT,5,Increase,Poor
49,EMP1184,Satisfied,Weekly,Female,Hybrid,Yes,15,4,2,23,Finance,3,Decrease,Good
53,EMP1185,Satisfied,Weekly,Non-binary,Remote,No,15,1,1,36,IT,1,Decrease,Good
23,EMP1186,Unsatisfied,Daily,Non-binary,Remote,Yes,5,4,4,52,Education,5,Decrease,Good
34,EMP1187,Unsatisfied,Daily,Female,Onsite,No,13,3,1,30,Finance,5,No Change,Good
55,EMP1188,Unsatisfied,Daily,Prefer not to say,Remote,No,0,2,3,51,IT,3,Decrease,Poor
44,EMP1189,Satisfied,None,Female,Remote,No,2,4,4,39,Finance,4,Increase,Good
54,EMP1190,Satisfied,Weekly,Prefer not to say,Onsite,No,8,2,2,46,Finance,1,No Change,Poor
29,EMP1191,Unsatisfied,None,Female,Remote,Yes,9,5,5,44,Finance,5,No Change,Poor
32,EMP1192,Neutral,Daily,Male,Remote,Yes,2,4,4,22,Consulting,1,Decrease,Good
45,EMP1193,Neutral,Daily,Non-binary,Onsite,No,3,4,4,38,IT,5,Decrease,Good
59,EMP1194,Satisfied,None,Non-binary,Hybrid,No,0,5,3,26,Education,5,Decrease,Poor
35,EMP1195,Satisfied,None,Female,Hybrid,Yes,8,5,4,48,Retail,3,Decrease,Poor
36,EMP1196,Unsatisfied,Weekly,Prefer not to say,Remote,No,2,4,3,49,Retail,5,Decrease,Good
29,EMP1197,Neutral,None,Male,Hybrid,No,5,1,5,32,Manufacturing,2,Increase,Poor
43,EMP1198,Neutral,None,Prefer not to say,Onsite,No,15,3,2,32,Healthcare,2,No Change,Good
49,EMP1199,Neutral,Weekly,Prefer not to say,Onsite,Yes,13,3,2,57,Finance,2,Increase,Poor
52,EMP1200,Neutral,None,Non-binary,Onsite,No,11,2,2,35,Education,4,Increase,Average
54,EMP1201,Neutral,Daily,Male,Hybrid,No,15,4,2,53,Consulting,1,No Change,Good
33,EMP1202,Satisfied,None,Male,Hybrid,Yes,11,3,3,41,Finance,5,No Change,Poor
31,EMP1203,Satisfied,Weekly,Male,Remote,Yes,9,4,3,46,Retail,1,Decrease,Average
45,EMP1204,Unsatisfied,Daily,Non-binary,Remote,Yes,10,3,1,30,Education,2,No Change,Average
52,EMP1205,Unsatisfied,None,Non-binary,Remote,No,4,4,4,51,Healthcare,4,Increase,Good
41,EMP1206,Neutral,Weekly,Prefer not to say,Hybrid,Yes,7,1,4,48,Consulting,3,No Change,Good
54,EMP1207,Satisfied,None,Male,Hybrid,No,14,4,3,56,Consulting,2,Decrease,Poor
38,EMP1208,Satisfied,None,Female,Remote,Yes,8,2,4,60,Finance,5,Decrease,Average
23,EMP1209,Satisfied,None,Female,Hybrid,No,5,4,1,24,IT,2,No Change,Average
27,EMP1210,Unsatisfied,Weekly,Prefer not to say,Hybrid,Yes,2,4,5,50,IT,4,Decrease,Poor
45,EMP1211,Unsatisfied,Weekly,Female,Onsite,No,1,4,5,22,Education,5,Decrease,Poor
29,EMP1212,Unsatisfied,Daily,Prefer not to say,Hybrid,No,9,5,5,25,Manufacturing,1,Increase,Poor
31,EMP1213,Unsatisfied,Daily,Prefer not to say,Hybrid,No,3,2,5,32,Finance,4,No Change,Poor
45,EMP1214,Unsatisfied,Daily,Female,Remote,Yes,12,4,3,42,Manufacturing,5,Decrease,Average
28,EMP1215,Neutral,Weekly,Female,Onsite,No,3,2,2,39,Education,2,Increase,Poor
32,EMP1216,Satisfied,Weekly,Male,Hybrid,No,2,5,4,28,Manufacturing,1,No Change,Average
56,EMP1217,Unsatisfied,Daily,Male,Hybrid,Yes,0,4,4,50,Education,3,No Change,Average
46,EMP1218,Satisfied,Daily,Prefer not to say,Remote,Yes,1,1,2,45,Finance,2,No Change,Good
29,EMP1219,Neutral,Weekly,Female,Hybrid,No,0,3,5,54,Consulting,2,Increase,Average
51,EMP1220,Satisfied,Weekly,Male,Hybrid,Yes,0,3,2,57,Education,1,Increase,Good
35,EMP1221,Unsatisfied,Daily,Non-binary,Remote,Yes,6,1,4,33,Retail,5,Increase,Good
23,EMP1222,Unsatisfied,None,Female,Onsite,No,13,3,2,30,Finance,5,No Change,Average
50,EMP1223,Unsatisfied,None,Female,Onsite,No,12,2,2,27,Education,2,Increase,Poor
58,EMP1224,Neutral,Weekly,Prefer not to say,Remote,No,14,1,2,25,Retail,1,Increase,Average
45,EMP1225,Satisfied,Daily,Prefer not to say,Onsite,Yes,6,5,1,49,Manufacturing,3,Decrease,Poor
54,EMP1226,Neutral,Daily,Female,Onsite,No,9,3,4,45,Retail,4,Increase,Good
54,EMP1227,Neutral,None,Male,Hybrid,Yes,15,2,4,42,IT,3,Decrease,Average
27,EMP1228,Neutral,None,Female,Onsite,Yes,3,5,3,33,Manufacturing,1,Decrease,Poor
60,EMP1229,Neutral,Daily,Male,Onsite,No,2,5,4,46,Healthcare,5,Increase,Good
21,EMP1230,Satisfied,None,Prefer not to say,Onsite,No,7,3,2,43,Retail,3,No Change,Poor
60,EMP1231,Satisfied,None,Male,Onsite,No,15,4,1,23,Healthcare,3,No Change,Good
50,EMP1232,Satisfied,Daily,Non-binary,Onsite,No,11,5,2,48,Finance,1,Decrease,Average
41,EMP1233,Satisfied,None,Prefer not to say,Remote,No,0,2,2,30,IT,1,Increase,Average
41,EMP1234,Unsatisfied,Daily,Non-binary,Hybrid,No,5,2,3,46,Healthcare,1,Increase,Poor
56,EMP1235,Neutral,Weekly,Prefer not to say,Hybrid,Yes,1,3,4,59,Consulting,2,Increase,Good
23,EMP1236,Satisfied,Weekly,Prefer not to say,Hybrid,No,4,4,5,36,Consulting,2,Increase,Poor
32,EMP1237,Satisfied,Weekly,Non-binary,Remote,Yes,7,1,5,51,Manufacturing,4,Decrease,Average
22,EMP1238,Neutral,Weekly,Non-binary,Hybrid,Yes,13,4,5,26,Retail,3,Increase,Poor
48,EMP1239,Neutral,Daily,Prefer not to say,Remote,Yes,12,5,1,41,Finance,5,No Change,Poor
22,EMP1240,Neutral,None,Non-binary,Hybrid,Yes,7,4,1,29,IT,5,Increase,Poor
22,EMP1241,Unsatisfied,Weekly,Non-binary,Hybrid,No,12,5,2,53,Retail,1,Increase,Average
60,EMP1242,Satisfied,Daily,Female,Remote,Yes,8,2,3,30,Finance,5,Increase,Average
38,EMP1243,Satisfied,Weekly,Female,Hybrid,No,9,5,5,48,Education,2,Decrease,Good
34,EMP1244,Unsatisfied,Daily,Non-binary,Remote,No,9,2,5,31,Retail,1,No Change,Average
23,EMP1245,Satisfied,Weekly,Prefer not to say,Onsite,Yes,14,3,1,44,Manufacturing,4,Decrease,Poor
52,EMP1246,Unsatisfied,Daily,Female,Onsite,Yes,3,1,4,42,IT,5,No Change,Average
24,EMP1247,Neutral,None,Non-binary,Hybrid,No,14,5,4,42,Education,2,No Change,Good
38,EMP1248,Satisfied,Weekly,Prefer not to say,Onsite,Yes,10,1,4,52,Finance,4,Increase,Poor
46,EMP1249,Unsatisfied,Daily,Male,Hybrid,No,2,3,5,49,Healthcare,5,No Change,Good
44,EMP1250,Neutral,Weekly,Non-binary,Hybrid,Yes,3,4,5,28,Retail,3,Decrease,Good
31,EMP1251,Neutral,Weekly,Female,Remote,No,7,4,3,53,Finance,2,Increase,Average
32,EMP1252,Neutral,Daily,Male,Onsite,Yes,3,4,3,49,Healthcare,1,Decrease,Poor
31,EMP1253,Satisfied,None,Non-binary,Remote,No,2,5,5,23,Retail,4,Increase,Average
20,EMP1254,Neutral,Daily,Male,Hybrid,No,10,2,1,23,IT,3,Increase,Good
42,EMP1255,Neutral,Weekly,Female,Hybrid,No,5,4,3,46,Consulting,2,No Change,Average
36,EMP1256,Unsatisfied,Weekly,Prefer not to say,Hybrid,Yes,4,3,1,48,Education,3,Decrease,Good
44,EMP1257,Satisfied,None,Female,Hybrid,Yes,2,3,2,48,Finance,3,No Change,Good
46,EMP1258,Neutral,None,Female,Hybrid,No,13,2,1,39,Finance,5,Decrease,Average
55,EMP1259,Satisfied,Weekly,Non-binary,Onsite,Yes,9,4,5,59,Manufacturing,3,No Change,Good
40,EMP1260,Neutral,Weekly,Prefer not to say,Hybrid,No,4,4,3,25,Finance,1,No Change,Good
40,EMP1261,Satisfied,Daily,Non-binary,Remote,Yes,13,4,5,24,Finance,5,Increase,Average
38,EMP1262,Unsatisfied,Weekly,Female,Remote,Yes,7,4,4,28,Consulting,1,No Change,Good
57,EMP1263,Neutral,None,Male,Hybrid,Yes,12,3,3,50,Manufacturing,2,Increase,Average
22,EMP1264,Satisfied,None,Prefer not to say,Hybrid,No,10,1,1,54,Retail,4,Decrease,Good
45,EMP1265,Neutral,Weekly,Male,Hybrid,Yes,8,2,4,33,IT,4,Increase,Poor
41,EMP1266,Neutral,Daily,Prefer not to say,Remote,No,11,4,3,30,Finance,5,Decrease,Average
49,EMP1267,Unsatisfied,Weekly,Prefer not to say,Remote,No,11,2,2,40,Healthcare,2,Increase,Good
32,EMP1268,Neutral,Weekly,Female,Onsite,No,15,5,2,27,Consulting,4,No Change,Average
25,EMP1269,Neutral,Weekly,Non-binary,Onsite,No,9,3,5,50,Finance,1,No Change,Average
24,EMP1270,Unsatisfied,None,Prefer not to say,Hybrid,Yes,14,5,3,23,Finance,3,No Change,Good
49,EMP1271,Unsatisfied,Weekly,Male,Remote,No,12,5,1,27,Consulting,4,Decrease,Good
59,EMP1272,Unsatisfied,Daily,Male,Hybrid,No,4,2,3,41,Education,5,Increase,Poor
39,EMP1273,Unsatisfied,Weekly,Prefer not to say,Onsite,Yes,8,5,5,50,IT,2,No Change,Good
34,EMP1274,Neutral,None,Non-binary,Remote,No,14,4,4,32,Consulting,1,Decrease,Good
55,EMP1275,Neutral,Weekly,Female,Remote,No,10,3,4,52,Healthcare,2,Decrease,Poor
28,EMP1276,Unsatisfied,Daily,Prefer not to say,Remote,Yes,9,5,5,51,Retail,4,No Change,Good
39,EMP1277,Satisfied,Daily,Male,Remote,No,0,5,1,26,Finance,3,Decrease,Average
43,EMP1278,Neutral,Weekly,Non-binary,Remote,No,6,2,2,59,Finance,1,No Change,Average
57,EMP1279,Neutral,None,Female,Hybrid,Yes,6,5,5,52,Education,1,No Change,Good
32,EMP1280,Satisfied,Weekly,Non-binary,Onsite,No,1,4,3,55,Healthcare,1,No Change,Average
25,EMP1281,Neutral,Daily,Prefer not to say,Remote,Yes,15,2,4,36,Finance,1,Decrease,Good
22,EMP1282,Neutral,Daily,Prefer not to say,Remote,No,7,5,5,32,Education,2,Increase,Average
59,EMP1283,Satisfied,Daily,Prefer not to say,Onsite,No,15,2,4,41,Consulting,2,No Change,Good
22,EMP1284,Unsatisfied,Daily,Non-binary,Onsite,No,6,2,2,29,Education,3,No Change,Average
46,EMP1285,Satisfied,Daily,Male,Remote,No,8,5,3,41,Education,3,No Change,Poor
43,EMP1286,Unsatisfied,Weekly,Female,Remote,Yes,0,2,5,55,Finance,1,Decrease,Good
48,EMP1287,Unsatisfied,Daily,Female,Hybrid,No,6,4,1,38,IT,4,Decrease,Poor
39,EMP1288,Unsatisfied,None,Male,Onsite,No,15,3,3,59,Healthcare,4,Increase,Average
49,EMP1289,Neutral,None,Prefer not to say,Remote,No,15,1,3,32,Consulting,1,Decrease,Average
38,EMP1290,Unsatisfied,Daily,Prefer not to say,Hybrid,Yes,11,2,5,28,Healthcare,4,No Change,Good
32,EMP1291,Satisfied,Weekly,Prefer not to say,Hybrid,No,10,4,3,25,Healthcare,2,No Change,Average
47,EMP1292,Neutral,Weekly,Prefer not to say,Hybrid,Yes,7,2,2,45,Retail,4,Increase,Poor
39,EMP1293,Satisfied,None,Non-binary,Onsite,No,3,2,1,27,Consulting,1,Decrease,Good
47,EMP1294,Satisfied,None,Male,Hybrid,No,9,2,4,40,Consulting,3,No Change,Average
53,EMP1295,Unsatisfied,None,Female,Remote,No,6,3,4,25,Healthcare,4,Increase,Good
49,EMP1296,Unsatisfied,Weekly,Male,Hybrid,No,2,1,3,30,IT,2,No Change,Poor
47,EMP1297,Unsatisfied,None,Male,Onsite,No,9,2,3,45,Manufacturing,2,Decrease,Good
25,EMP1298,Neutral,Daily,Prefer not to say,Hybrid,No,13,4,4,48,Retail,3,Increase,Average
55,EMP1299,Neutral,None,Female,Hybrid,No,7,3,2,57,Consulting,2,No Change,Good
35,EMP1300,Satisfied,Daily,Prefer not to say,Onsite,No,4,5,2,32,Retail,3,Decrease,Good
57,EMP1301,Satisfied,Daily,Male,Onsite,Yes,2,5,4,31,Consulting,4,Increase,Poor
58,EMP1302,Satisfied,Weekly,Non-binary,Hybrid,No,13,3,5,56,Retail,4,Decrease,Good
44,EMP1303,Unsatisfied,Daily,Non-binary,Remote,Yes,12,5,4,55,IT,1,Decrease,Average
28,EMP1304,Satisfied,None,Non-binary,Hybrid,No,4,1,2,56,Finance,2,Decrease,Poor
25,EMP1305,Unsatisfied,Weekly,Non-binary,Hybrid,No,6,5,4,31,Healthcare,1,No Change,Average
58,EMP1306,Unsatisfied,None,Female,Onsite,Yes,15,2,1,55,Retail,3,No Change,Poor
44,EMP1307,Unsatisfied,Weekly,Prefer not to say,Onsite,No,11,2,4,48,Finance,1,Increase,Average
25,EMP1308,Unsatisfied,Weekly,Male,Onsite,Yes,1,2,5,50,IT,3,Increase,Poor
48,EMP1309,Unsatisfied,None,Non-binary,Onsite,Yes,0,1,4,28,Healthcare,2,No Change,Good
