Job_Role,Industry,Ag,Mental_Health_Condition,Stress_Level,Years_of_Experience,Work_Location,Region,Employee_ID,Number_of_Virtual_Meetings,R_Satisfaction_with_Remote_Work,Work_Life_Balance_Rating,Hours_Worked_Per_Week,Productivity_Change
Project Manager,Manufacturing,30,Anxiety,Medium,19,Hybrid,Africa,EMP0784,7,Unsatisfied,2,58,No Change
Software Engineer,IT,28,None,High,15,Remote,Europe,EMP0785,7,Satisfied,3,42,Decrease
HR,Education,46,Anxiety,Low,19,Onsite,South America,EMP0786,8,Neutral,3,30,Decrease
HR,Healthcare,22,None,Medium,34,Hybrid,Asia,EMP0787,0,Satisfied,4,46,Increase
Marketing,Healthcare,22,None,High,21,Remote,Africa,EMP0788,5,Neutral,3,48,Decrease
Designer,Healthcare,25,Depression,Medium,23,Onsite,South America,EMP0789,0,Satisfied,2,38,Decrease
Data Scientist,Finance,26,Burnout,Low,5,Onsite,Asia,EMP0790,8,Satisfied,5,26,Decrease
Data Scientist,Manufacturing,46,None,Medium,5,Hybrid,North America,EMP0791,10,Neutral,5,59,No Change
Marketing,Healthcare,46,None,Medium,24,Remote,Africa,EMP0792,11,Unsatisfied,1,24,Increase
Data Scientist,IT,60,Depression,High,8,Hybrid,Oceania,EMP0793,12,Satisfied,1,50,No Change
Marketing,Consulting,55,Anxiety,High,18,Remote,Asia,EMP0794,3,Neutral,2,53,Decrease
Sales,Education,25,Depression,Low,7,Onsite,Europe,EMP0795,1,Satisfied,5,48,No Change
Software Engineer,IT,42,Burnout,Low,28,Hybrid,Africa,EMP0796,13,Unsatisfied,4,39,No Change
Software Engineer,Finance,30,Burnout,Low,13,Onsite,Europe,EMP0797,10,Unsatisfied,3,42,No Change
Data Scientist,IT,58,Burnout,Medium,14,Remote,Africa,EMP0798,1,Unsatisfied,4,50,No Change
Data Scientist,Education,46,None,High,23,Onsite,Europe,EMP0799,6,Satisfied,4,59,Decrease
Marketing,Consulting,36,Depression,Low,7,Onsite,Africa,EMP0800,8,Unsatisfied,1,20,Decrease
Marketing,Manufacturing,46,Burnout,Medium,3,Remote,Europe,EMP0801,10,Satisfied,5,32,Decrease
Data Scientist,Manufacturing,24,None,High,24,Hybrid,Africa,EMP0802,7,Unsatisfied,2,45,No Change
Sales,Education,27,None,Medium,2,Onsite,Oceania,EMP0803,13,Satisfied,5,45,Increase
Data Scientist,IT,39,Burnout,Low,6,Onsite,Oceania,EMP0804,7,Unsatisfied,1,39,No Change
Data Scientist,Retail,40,Burnout,High,23,Hybrid,Asia,EMP0805,11,Neutral,4,32,Increase
Project Manager,Retail,46,Burnout,High,14,Onsite,Asia,EMP0806,14,Unsatisfied,5,59,Increase
Software Engineer,Healthcare,45,Depression,Medium,21,Remote,Asia,EMP0807,12,Neutral,5,38,Decrease
Designer,Education,58,Anxiety,Low,8,Remote,Europe,EMP0808,9,Unsatisfied,5,24,Decrease
Software Engineer,Retail,33,None,Medium,4,Onsite,Asia,EMP0809,7,Neutral,4,38,Increase
HR,Manufacturing,41,Depression,Low,26,Hybrid,Oceania,EMP0810,2,Satisfied,3,36,No Change
Designer,IT,42,Anxiety,Low,35,Hybrid,Europe,EMP0811,5,Unsatisfied,5,56,No Change
Software Engineer,Healthcare,34,Depression,High,33,Hybrid,South America,EMP0812,7,Neutral,5,35,No Change
Project Manager,Consulting,25,None,Medium,10,Onsite,Asia,EMP0813,9,Unsatisfied,5,22,Decrease
Software Engineer,Retail,46,Anxiety,Low,12,Remote,Asia,EMP0814,10,Neutral,5,40,Increase
Software Engineer,Manufacturing,58,Depression,Medium,31,Hybrid,Europe,EMP0815,6,Neutral,1,22,No Change
Software Engineer,Manufacturing,39,Burnout,Medium,8,Hybrid,North America,EMP0816,13,Unsatisfied,5,41,Decrease
Sales,Retail,35,Burnout,Low,23,Remote,Africa,EMP0817,4,Unsatisfied,4,53,No Change
Software Engineer,Retail,28,Depression,Low,6,Hybrid,South America,EMP0818,15,Satisfied,2,57,No Change
Marketing,Education,35,Anxiety,Medium,9,Remote,Africa,EMP0819,7,Neutral,3,51,Decrease
Sales,Healthcare,59,Burnout,Medium,23,Onsite,Asia,EMP0820,15,Neutral,4,20,No Change
Sales,IT,52,Burnout,High,18,Remote,Asia,EMP0821,12,Satisfied,2,56,Decrease
Marketing,Manufacturing,52,Depression,Low,16,Onsite,Asia,EMP0822,7,Unsatisfied,3,27,Increase
HR,Healthcare,51,Anxiety,High,17,Onsite,Asia,EMP0823,15,Neutral,3,29,No Change
Designer,Retail,42,None,Low,16,Onsite,Oceania,EMP0824,7,Neutral,5,52,Decrease
Sales,Healthcare,48,Burnout,Low,6,Onsite,Europe,EMP0825,3,Neutral,4,45,Decrease
Designer,Retail,24,Burnout,Low,9,Remote,South America,EMP0826,7,Satisfied,5,58,No Change
Marketing,Retail,45,Burnout,High,19,Hybrid,Oceania,EMP0827,3,Satisfied,4,23,No Change
Sales,IT,32,Anxiety,Medium,33,Onsite,South America,EMP0828,14,Satisfied,4,27,No Change
Marketing,Healthcare,50,Depression,Medium,21,Hybrid,South America,EMP0829,10,Neutral,3,59,No Change
Marketing,Healthcare,46,Burnout,Medium,14,Onsite,Oceania,EMP0830,12,Unsatisfied,4,40,Decrease
HR,IT,43,None,High,30,Onsite,Europe,EMP0831,11,Unsatisfied,1,59,Increase
Software Engineer,Manufacturing,30,None,High,2,Remote,Oceania,EMP0832,4,Neutral,4,58,No Change
Data Scientist,IT,24,Depression,High,10,Remote,Asia,EMP0833,3,Satisfied,2,52,Decrease
Data Scientist,Consulting,43,Anxiety,High,4,Hybrid,Asia,EMP0834,12,Unsatisfied,3,57,Increase
Sales,Manufacturing,46,Burnout,Medium,12,Onsite,North America,EMP0835,1,Satisfied,5,22,Decrease
Sales,IT,55,Anxiety,Low,23,Remote,Europe,EMP0836,10,Neutral,5,25,No Change
HR,Finance,46,None,Medium,4,Hybrid,North America,EMP0837,14,Satisfied,1,57,No Change
Project Manager,Finance,50,Depression,Medium,22,Hybrid,North America,EMP0838,14,Neutral,3,55,Increase
HR,Retail,54,Anxiety,Medium,9,Onsite,Asia,EMP0839,1,Neutral,4,51,Decrease
Sales,Retail,31,None,High,15,Onsite,Oceania,EMP0840,9,Unsatisfied,1,32,Decrease
Sales,Education,51,Burnout,Medium,1,Hybrid,North America,EMP0841,12,Unsatisfied,5,47,Increase
Designer,Manufacturing,51,Depression,Low,3,Onsite,South America,EMP0842,12,Satisfied,3,42,Decrease
Designer,Finance,41,Burnout,High,25,Remote,Asia,EMP0843,15,Neutral,2,56,Decrease
Project Manager,Education,60,None,High,12,Onsite,Oceania,EMP0844,7,Unsatisfied,2,40,Decrease
Designer,Healthcare,27,Burnout,High,28,Onsite,Oceania,EMP0845,12,Unsatisfied,1,36,No Change
Project Manager,Finance,39,Depression,Low,5,Hybrid,Africa,EMP0846,5,Unsatisfied,5,31,Decrease
HR,Retail,57,Burnout,Medium,5,Onsite,Asia,EMP0847,1,Neutral,5,42,No Change
Marketing,IT,32,Burnout,High,4,Remote,Europe,EMP0848,7,Unsatisfied,5,34,Increase
HR,Consulting,42,None,High,25,Onsite,Oceania,EMP0849,9,Neutral,3,56,Decrease
Software Engineer,Manufacturing,43,None,Medium,10,Remote,North America,EMP0850,15,Neutral,2,53,Increase
Data Scientist,Finance,58,Anxiety,High,32,Onsite,Africa,EMP0851,15,Neutral,1,25,No Change
Sales,IT,25,Anxiety,Low,32,Remote,Oceania,EMP0852,15,Satisfied,3,31,Decrease
Marketing,Healthcare,59,None,High,30,Hybrid,Oceania,EMP0853,3,Neutral,2,21,Increase
HR,Finance,28,None,Medium,19,Remote,Asia,EMP0854,9,Neutral,1,58,No Change
HR,IT,41,None,High,5,Remote,Europe,EMP0855,13,Satisfied,1,29,Increase
Designer,Manufacturing,45,Burnout,High,28,Remote,Asia,EMP0856,5,Unsatisfied,1,56,Increase
Sales,Healthcare,37,Anxiety,Low,14,Remote,Oceania,EMP0857,1,Satisfied,1,48,No Change
Software Engineer,Manufacturing,27,Depression,Low,2,Hybrid,South America,EMP0858,2,Unsatisfied,1,60,Increase
Project Manager,Retail,46,Depression,High,29,Hybrid,Asia,EMP0859,8,Neutral,5,26,No Change
Data Scientist,IT,48,None,High,15,Onsite,Europe,EMP0860,8,Satisfied,1,21,No Change
Marketing,Healthcare,35,Burnout,High,27,Onsite,Europe,EMP0861,8,Unsatisfied,3,20,No Change
Data Scientist,Finance,32,Depression,Low,26,Onsite,South America,EMP0862,9,Neutral,1,58,Increase
Marketing,Retail,36,Anxiety,Medium,10,Hybrid,North America,EMP0863,10,Neutral,3,39,Increase
Data Scientist,Healthcare,24,Depression,High,6,Onsite,Asia,EMP0864,11,Satisfied,2,43,No Change
Sales,Healthcare,58,None,Medium,19,Remote,North America,EMP0865,13,Unsatisfied,3,43,No Change
Marketing,Consulting,53,None,Low,25,Onsite,South America,EMP0866,5,Unsatisfied,2,28,No Change
HR,Consulting,35,None,Low,32,Hybrid,Africa,EMP0867,13,Unsatisfied,3,24,Decrease
Project Manager,Education,26,None,Low,5,Hybrid,North America,EMP0868,0,Unsatisfied,4,51,Decrease
Data Scientist,Healthcare,50,Anxiety,Medium,29,Remote,Africa,EMP0869,14,Neutral,1,29,No Change
Sales,Manufacturing,33,Burnout,Low,16,Onsite,North America,EMP0870,4,Neutral,3,55,Decrease
Sales,Finance,30,Anxiety,Medium,6,Remote,South America,EMP0871,3,Unsatisfied,5,40,No Change
Marketing,Finance,60,Burnout,High,12,Onsite,Asia,EMP0872,3,Satisfied,1,43,Decrease
Software Engineer,Education,59,Anxiety,Medium,22,Hybrid,Europe,EMP0873,2,Neutral,1,29,Increase
Designer,Healthcare,57,Burnout,High,35,Hybrid,Africa,EMP0874,9,Neutral,1,48,No Change
Designer,Manufacturing,47,None,Low,1,Hybrid,North America,EMP0875,10,Neutral,4,38,No Change
Designer,Consulting,37,Burnout,Low,33,Hybrid,North America,EMP0876,1,Satisfied,3,42,Decrease
Software Engineer,Retail,37,Depression,Low,2,Remote,Europe,EMP0877,14,Satisfied,3,34,No Change
HR,Consulting,35,Depression,High,8,Hybrid,Africa,EMP0878,7,Neutral,3,48,No Change
Sales,Manufacturing,49,Anxiety,Low,26,Remote,South America,EMP0879,3,Satisfied,4,57,No Change
Marketing,Retail,42,Anxiety,High,22,Onsite,Africa,EMP0880,8,Unsatisfied,5,59,Decrease
Project Manager,Education,53,None,Low,17,Onsite,Africa,EMP0881,10,Satisfied,2,30,Increase
Software Engineer,IT,29,None,Low,28,Onsite,Oceania,EMP0882,9,Unsatisfied,5,29,Increase
Project Manager,Education,31,Depression,High,25,Remote,Africa,EMP0883,10,Unsatisfied,1,21,Increase
Project Manager,Retail,47,Anxiety,High,30,Remote,Oceania,EMP0884,14,Unsatisfied,1,23,Increase
Software Engineer,Consulting,57,Anxiety,High,34,Remote,South America,EMP0885,1,Unsatisfied,2,53,Increase
Designer,Finance,59,None,High,13,Hybrid,North America,EMP0886,6,Unsatisfied,1,30,No Change
Marketing,Retail,51,Depression,Medium,19,Onsite,Asia,EMP0887,10,Neutral,5,60,No Change
Software Engineer,Consulting,30,Burnout,Low,20,Onsite,Oceania,EMP0888,5,Neutral,2,50,Increase
Marketing,IT,46,Anxiety,Low,25,Remote,Africa,EMP0889,14,Unsatisfied,4,31,Decrease
Software Engineer,Manufacturing,39,Burnout,Medium,19,Hybrid,Africa,EMP0890,0,Satisfied,4,49,Decrease
HR,Consulting,57,None,Low,2,Remote,Oceania,EMP0891,4,Neutral,4,35,Increase
HR,Education,36,Anxiety,Medium,35,Remote,North America,EMP0892,14,Satisfied,1,26,Increase
Marketing,Retail,28,None,Medium,23,Onsite,Oceania,EMP0893,15,Neutral,2,60,No Change
Project Manager,Healthcare,60,Depression,Medium,3,Onsite,Europe,EMP0894,10,Unsatisfied,1,30,Decrease
Data Scientist,Consulting,38,Anxiety,High,21,Remote,South America,EMP0895,6,Neutral,4,25,Increase
Marketing,Retail,45,Burnout,Medium,9,Remote,Asia,EMP0896,2,Neutral,2,42,Increase
Sales,Finance,53,Burnout,Medium,9,Remote,North America,EMP0897,13,Satisfied,1,46,No Change
Software Engineer,Healthcare,57,Burnout,High,10,Onsite,South America,EMP0898,9,Neutral,3,41,Increase
Marketing,Retail,56,Depression,High,1,Onsite,Asia,EMP0899,10,Satisfied,4,39,No Change
Data Scientist,IT,33,Depression,High,11,Onsite,Europe,EMP0900,2,Satisfied,4,58,Increase
Project Manager,IT,33,Burnout,Medium,5,Remote,Europe,EMP0901,0,Unsatisfied,3,51,Decrease
Sales,Finance,60,Depression,Medium,8,Onsite,Africa,EMP0902,14,Neutral,2,22,No Change
Software Engineer,Manufacturing,39,Depression,Medium,22,Onsite,Asia,EMP0903,7,Satisfied,3,26,Increase
Data Scientist,Healthcare,58,Burnout,High,20,Remote,Asia,EMP0904,11,Neutral,4,25,No Change
HR,Consulting,60,Anxiety,High,32,Hybrid,Africa,EMP0905,1,Unsatisfied,4,28,Decrease
Project Manager,IT,43,Burnout,Low,30,Remote,North America,EMP0906,3,Neutral,5,54,No Change
Designer,Consulting,48,None,Medium,3,Remote,Africa,EMP0907,13,Neutral,5,34,Decrease
Software Engineer,Retail,60,Anxiety,Medium,9,Hybrid,Africa,EMP0908,12,Unsatisfied,5,28,Increase
Software Engineer,Retail,45,Burnout,Low,15,Onsite,Africa,EMP0909,12,Satisfied,2,37,Increase
Software Engineer,IT,58,Anxiety,Low,5,Remote,South America,EMP0910,8,Neutral,3,50,Decrease
Designer,IT,22,None,Low,29,Hybrid,Europe,EMP0911,5,Unsatisfied,5,21,No Change
Data Scientist,Retail,42,Depression,Medium,3,Remote,Asia,EMP0912,0,Satisfied,5,32,No Change
Sales,Retail,44,Anxiety,Low,28,Hybrid,Asia,EMP0913,10,Satisfied,3,56,No Change
Data Scientist,IT,43,Burnout,Medium,34,Onsite,Asia,EMP0914,7,Satisfied,5,42,No Change
Designer,Consulting,35,Burnout,Medium,33,Hybrid,North America,EMP0915,1,Satisfied,3,22,Decrease
Software Engineer,Education,47,None,Low,23,Remote,Africa,EMP0916,10,Satisfied,5,28,Decrease
Project Manager,Manufacturing,49,Burnout,Medium,9,Hybrid,North America,EMP0917,8,Neutral,5,31,Increase
Software Engineer,Finance,49,None,High,34,Hybrid,Asia,EMP0918,0,Neutral,5,59,Decrease
Data Scientist,Education,40,Anxiety,Low,30,Remote,Europe,EMP0919,13,Unsatisfied,5,22,Increase
HR,Consulting,27,Burnout,Low,4,Hybrid,Asia,EMP0920,3,Unsatisfied,1,21,Increase
Software Engineer,Healthcare,34,Depression,Medium,25,Remote,Africa,EMP0921,8,Neutral,4,54,Increase
Sales,Healthcare,48,Depression,Medium,20,Hybrid,Oceania,EMP0922,7,Satisfied,5,46,Decrease
Sales,Retail,46,Anxiety,Low,14,Remote,Asia,EMP0923,2,Satisfied,5,56,Increase
Data Scientist,Finance,27,Depression,High,9,Hybrid,Oceania,EMP0924,3,Satisfied,3,48,Decrease
Designer,Education,50,Anxiety,High,7,Hybrid,Africa,EMP0925,8,Unsatisfied,3,29,Increase
Data Scientist,Manufacturing,23,None,Medium,24,Onsite,South America,EMP0926,9,Unsatisfied,5,59,No Change
Designer,Healthcare,35,Depression,High,10,Remote,South America,EMP0927,15,Satisfied,5,46,Decrease
Sales,IT,59,Depression,Medium,27,Onsite,Asia,EMP0928,7,Neutral,4,27,Decrease
Project Manager,Education,27,Anxiety,Low,22,Hybrid,Oceania,EMP0929,6,Satisfied,4,42,Increase
Project Manager,Finance,22,Anxiety,Low,15,Remote,South America,EMP0930,10,Neutral,4,39,No Change
Designer,Education,41,Depression,Low,23,Remote,Asia,EMP0931,8,Neutral,1,34,No Change
Designer,Retail,58,Anxiety,Low,28,Remote,Oceania,EMP0932,15,Neutral,2,58,Increase
HR,Retail,30,Depression,Low,23,Remote,Africa,EMP0933,3,Neutral,4,36,No Change
Project Manager,Manufacturing,22,Depression,Medium,15,Remote,South America,EMP0934,15,Satisfied,2,52,Increase
Software Engineer,Manufacturing,34,Anxiety,Medium,8,Remote,Asia,EMP0935,5,Satisfied,2,51,Decrease
Software Engineer,Manufacturing,48,None,Low,25,Onsite,North America,EMP0936,10,Satisfied,1,31,No Change
Data Scientist,Retail,29,Burnout,Medium,10,Hybrid,South America,EMP0937,5,Unsatisfied,3,47,Increase
Marketing,IT,47,Anxiety,Low,2,Onsite,Asia,EMP0938,9,Satisfied,1,55,Increase
HR,Healthcare,51,Anxiety,High,13,Remote,North America,EMP0939,3,Neutral,2,53,Decrease
Software Engineer,Healthcare,60,None,Medium,24,Remote,North America,EMP0940,13,Neutral,4,40,Increase
Marketing,Manufacturing,48,Burnout,High,29,Onsite,North America,EMP0941,9,Neutral,2,46,Decrease
HR,Retail,38,Anxiety,Medium,5,Onsite,South America,EMP0942,0,Neutral,3,37,Decrease
Sales,Consulting,58,Burnout,High,9,Onsite,Oceania,EMP0943,11,Satisfied,3,32,No Change
Project Manager,Retail,35,None,Medium,34,Hybrid,Asia,EMP0944,12,Satisfied,5,20,No Change
Designer,IT,32,Anxiety,High,33,Onsite,Africa,EMP0945,10,Satisfied,2,55,Increase
Data Scientist,Manufacturing,30,None,High,31,Remote,Africa,EMP0946,6,Neutral,1,36,Increase
Software Engineer,Healthcare,29,None,Medium,30,Hybrid,North America,EMP0947,2,Satisfied,2,48,No Change
Sales,Finance,45,Burnout,Medium,9,Hybrid,Africa,EMP0948,5,Unsatisfied,5,42,Decrease
Software Engineer,Healthcare,45,Anxiety,Low,5,Remote,Asia,EMP0949,12,Neutral,4,33,Decrease
Software Engineer,Consulting,41,Anxiety,Low,30,Remote,Oceania,EMP0950,12,Satisfied,4,45,Decrease
Designer,Finance,56,None,Medium,2,Remote,North America,EMP0951,14,Unsatisfied,4,43,Decrease
Software Engineer,Finance,49,Depression,Low,5,Remote,South America,EMP0952,3,Neutral,5,59,Decrease
Marketing,Healthcare,32,Anxiety,High,32,Onsite,North America,EMP0953,12,Unsatisfied,3,26,No Change
Sales,Finance,58,Depression,Low,32,Hybrid,Oceania,EMP0954,7,Satisfied,5,47,Decrease
Marketing,Finance,41,None,Medium,3,Remote,North America,EMP0955,1,Neutral,2,27,Increase
Data Scientist,Finance,42,None,High,22,Hybrid,Asia,EMP0956,2,Neutral,2,50,Increase
HR,Retail,36,Depression,Low,11,Remote,Europe,EMP0957,4,Unsatisfied,2,29,No Change
Marketing,Healthcare,31,None,Low,3,Hybrid,Asia,EMP0958,6,Neutral,5,53,Increase
Designer,Finance,46,Depression,High,26,Hybrid,Europe,EMP0959,13,Satisfied,3,22,Decrease
Marketing,Education,41,Depression,High,14,Onsite,North America,EMP0960,2,Neutral,4,42,Increase
HR,Retail,52,None,Medium,17,Remote,Oceania,EMP0961,13,Satisfied,1,20,Increase
HR,Manufacturing,51,Burnout,Medium,35,Hybrid,Asia,EMP0962,11,Unsatisfied,2,20,Increase
Sales,IT,23,Anxiety,High,22,Hybrid,Europe,EMP0963,5,Unsatisfied,4,32,Increase
Project Manager,Education,34,Depression,High,14,Remote,South America,EMP0964,7,Unsatisfied,3,44,Increase
Sales,Education,37,Anxiety,Medium,20,Onsite,Oceania,EMP0965,1,Satisfied,4,38,No Change
Project Manager,Consulting,40,Burnout,Low,4,Hybrid,North America,EMP0966,2,Satisfied,3,44,Decrease
Sales,Consulting,46,None,High,11,Remote,Oceania,EMP0967,10,Unsatisfied,2,43,Decrease
Data Scientist,Education,28,Depression,Medium,5,Hybrid,Oceania,EMP0968,3,Neutral,2,45,No Change
HR,Education,26,Depression,Low,3,Hybrid,Oceania,EMP0969,5,Neutral,1,24,Decrease
Designer,Healthcare,25,Burnout,High,31,Hybrid,North America,EMP0970,7,Neutral,3,37,Increase
Software Engineer,Finance,30,None,Medium,22,Remote,Africa,EMP0971,5,Unsatisfied,4,48,Decrease
Software Engineer,IT,57,Burnout,Medium,9,Onsite,Europe,EMP0972,11,Satisfied,1,29,Increase
Software Engineer,Finance,33,Burnout,Low,30,Remote,Asia,EMP0973,9,Unsatisfied,3,26,Increase
Software Engineer,Manufacturing,38,Depression,High,9,Remote,South America,EMP0974,2,Unsatisfied,2,60,Decrease
HR,Consulting,43,Burnout,High,24,Remote,Europe,EMP0975,3,Satisfied,4,22,Increase
HR,Finance,43,Burnout,Medium,26,Remote,Europe,EMP0976,0,Satisfied,4,21,Increase
Sales,IT,44,Depression,High,23,Onsite,South America,EMP0977,2,Satisfied,3,49,Increase
Sales,Manufacturing,52,Burnout,Medium,3,Remote,Africa,EMP0978,7,Unsatisfied,4,38,Increase
Project Manager,Education,25,Burnout,Low,12,Hybrid,Oceania,EMP0979,1,Satisfied,3,26,Increase
Project Manager,IT,28,Depression,Low,19,Remote,Europe,EMP0980,13,Unsatisfied,5,50,No Change
Data Scientist,Healthcare,26,None,High,5,Onsite,South America,EMP0981,10,Neutral,2,26,Decrease
Designer,IT,32,None,High,32,Hybrid,Europe,EMP0982,5,Unsatisfied,3,26,Decrease
Data Scientist,Education,28,None,High,14,Onsite,Europe,EMP0983,9,Unsatisfied,2,30,No Change
Project Manager,Consulting,32,None,High,33,Onsite,North America,EMP0984,7,Satisfied,3,50,No Change
Project Manager,IT,25,Anxiety,Medium,24,Hybrid,South America,EMP0985,10,Unsatisfied,4,60,No Change
Software Engineer,Finance,57,Depression,Low,17,Onsite,Europe,EMP0986,6,Unsatisfied,5,49,No Change
Marketing,Healthcare,28,Anxiety,Medium,2,Remote,Europe,EMP0987,9,Neutral,2,48,Increase
HR,IT,51,Burnout,Low,9,Remote,Africa,EMP0988,4,Unsatisfied,5,39,Increase
Marketing,IT,60,None,High,8,Hybrid,Oceania,EMP0989,15,Neutral,2,52,No Change
Software Engineer,Healthcare,49,Anxiety,Medium,8,Remote,South America,EMP0990,5,Satisfied,3,23,Increase
Software Engineer,IT,30,Burnout,Medium,1,Hybrid,North America,EMP0991,8,Unsatisfied,4,51,Decrease
Designer,Manufacturing,35,Depression,Medium,32,Onsite,Asia,EMP0992,14,Satisfied,5,28,Increase
Software Engineer,Finance,45,None,Low,21,Onsite,North America,EMP0993,15,Neutral,5,22,No Change
Project Manager,Education,42,Burnout,Medium,13,Remote,Africa,EMP0994,1,Satisfied,3,50,No Change
Software Engineer,Retail,38,None,Low,24,Remote,Oceania,EMP0995,13,Satisfied,3,21,Increase
Sales,IT,36,None,Medium,5,Remote,Europe,EMP0996,14,Neutral,1,28,Decrease
Project Manager,Healthcare,23,Depression,Low,12,Onsite,Africa,EMP0997,14,Neutral,3,21,No Change
Project Manager,Manufacturing,41,None,Low,8,Hybrid,South America,EMP0998,15,Satisfied,4,58,Decrease
Marketing,Retail,43,Burnout,Low,10,Onsite,Oceania,EMP0999,5,Unsatisfied,4,28,No Change
Designer,Retail,53,Anxiety,High,10,Remote,South America,EMP1000,2,Neutral,1,41,Increase
Marketing,Education,52,Anxiety,Medium,4,Onsite,Oceania,EMP1001,4,Neutral,4,25,No Change
HR,Consulting,52,Depression,High,3,Onsite,Asia,EMP1002,5,Neutral,1,35,Increase
Sales,Finance,42,Depression,High,2,Hybrid,Africa,EMP1003,9,Unsatisfied,4,49,Decrease
HR,Healthcare,49,Depression,Medium,26,Hybrid,Africa,EMP1004,7,Neutral,5,37,Decrease
Marketing,Manufacturing,48,None,Medium,27,Remote,Asia,EMP1005,8,Unsatisfied,2,43,Increase
Data Scientist,Consulting,37,Depression,High,8,Onsite,South America,EMP1006,6,Neutral,4,35,Decrease
Designer,Healthcare,57,Anxiety,Medium,28,Hybrid,South America,EMP1007,2,Satisfied,5,44,Decrease
Marketing,Manufacturing,59,Burnout,Medium,3,Remote,Oceania,EMP1008,8,Unsatisfied,1,35,Increase
Project Manager,Healthcare,36,Burnout,Low,2,Hybrid,Oceania,EMP1009,2,Unsatisfied,2,35,Decrease
Designer,Healthcare,31,Depression,High,24,Hybrid,South America,EMP1010,0,Unsatisfied,4,60,Decrease
Sales,IT,24,None,Medium,5,Remote,Africa,EMP1011,0,Neutral,5,54,Decrease
Software Engineer,Healthcare,34,Depression,High,16,Onsite,Oceania,EMP1012,14,Neutral,3,41,No Change
Software Engineer,Retail,43,None,High,20,Remote,Africa,EMP1013,4,Unsatisfied,3,60,No Change
Software Engineer,Education,25,None,High,26,Remote,Europe,EMP1014,10,Satisfied,1,40,No Change
Designer,Retail,27,Anxiety,Low,25,Hybrid,Africa,EMP1015,4,Satisfied,2,47,No Change
Software Engineer,IT,58,Burnout,Low,21,Onsite,Africa,EMP1016,15,Unsatisfied,3,58,Decrease
Marketing,Finance,50,Depression,Low,13,Hybrid,Europe,EMP1017,7,Neutral,5,23,Increase
Designer,Healthcare,41,Depression,Medium,11,Onsite,Asia,EMP1018,12,Satisfied,5,55,Decrease
HR,Education,38,Anxiety,Low,6,Hybrid,Africa,EMP1019,14,Neutral,2,25,No Change
Sales,Consulting,24,Depression,High,20,Onsite,Asia,EMP1020,5,Unsatisfied,4,40,Increase
Project Manager,Consulting,38,Burnout,Low,33,Remote,North America,EMP1021,12,Satisfied,2,26,No Change
Software Engineer,Manufacturing,37,Anxiety,High,24,Onsite,Europe,EMP1022,13,Satisfied,3,48,No Change
Sales,Finance,59,Burnout,Medium,14,Hybrid,Africa,EMP1023,6,Unsatisfied,4,50,Increase
HR,Finance,31,Anxiety,Medium,14,Hybrid,Europe,EMP1024,8,Neutral,3,48,No Change
Data Scientist,Retail,24,Burnout,Medium,35,Hybrid,Oceania,EMP1025,8,Satisfied,4,34,Increase
Marketing,Finance,30,Anxiety,Medium,14,Remote,South America,EMP1026,9,Neutral,4,57,No Change
Sales,IT,54,Anxiety,High,17,Onsite,South America,EMP1027,12,Satisfied,3,52,No Change
Data Scientist,Healthcare,53,Depression,High,34,Remote,Africa,EMP1028,8,Satisfied,3,22,Decrease
Marketing,Finance,41,Burnout,Low,7,Onsite,Africa,EMP1029,11,Neutral,4,20,Increase
Marketing,Finance,24,Anxiety,High,15,Hybrid,Oceania,EMP1030,1,Neutral,3,44,Increase
HR,Finance,25,Burnout,Medium,13,Remote,South America,EMP1031,5,Unsatisfied,4,25,Decrease
Software Engineer,Manufacturing,47,None,Medium,15,Remote,Oceania,EMP1032,12,Neutral,4,46,Increase
Designer,Education,24,Anxiety,Medium,23,Onsite,Oceania,EMP1033,6,Unsatisfied,2,32,Decrease
HR,Finance,60,Depression,High,33,Hybrid,South America,EMP1034,7,Neutral,2,45,Decrease
Project Manager,Retail,59,Depression,High,27,Remote,Africa,EMP1035,5,Neutral,4,30,No Change
Designer,Consulting,26,Burnout,Low,28,Hybrid,Asia,EMP1036,9,Satisfied,4,32,No Change
HR,Education,22,Depression,Low,23,Onsite,Asia,EMP1037,13,Unsatisfied,5,30,Increase
Software Engineer,Consulting,28,Anxiety,High,7,Hybrid,Oceania,EMP1038,15,Unsatisfied,4,59,Increase
Project Manager,Consulting,52,Burnout,Medium,6,Hybrid,North America,EMP1039,10,Unsatisfied,4,23,Decrease
Software Engineer,IT,57,Burnout,Medium,3,Remote,Oceania,EMP1040,7,Unsatisfied,3,48,No Change
HR,Manufacturing,57,Burnout,Medium,23,Remote,North America,EMP1041,7,Neutral,1,37,No Change
Marketing,Education,50,None,Medium,34,Onsite,North America,EMP1042,11,Satisfied,3,27,Increase
Sales,Retail,46,Anxiety,Low,7,Hybrid,North America,EMP1043,15,Satisfied,4,39,Increase
Marketing,Healthcare,37,Burnout,Medium,27,Onsite,Oceania,EMP1044,2,Neutral,5,31,No Change
Marketing,Retail,55,None,High,23,Hybrid,Oceania,EMP1045,1,Neutral,2,52,Increase
Sales,Healthcare,37,Depression,Low,31,Remote,Asia,EMP1046,1,Neutral,1,55,Decrease
Designer,Healthcare,22,Burnout,High,6,Remote,Europe,EMP1047,11,Unsatisfied,2,29,Increase
