owners,appid,english,developer,publisher;platforms,required_age,steamspy_tags,achievements;positive_ratings,negative_ratings,average_playtime
0-20000,235520,1,Laboratory Systems,Laboratory Systems;Gamera Game;windows,10,Indie;Strategy;Tower Defense,15;120,34,0
0-20000,678240,1,MFAFB Games LLC,MFAFB Games LLC;windows,0,Action;Indie,10;10,7,0
0-20000,739710,1,Payoff Technologies,Payoff Technologies;windows,0,Action;VR,754;52418,0,0
0-20000,779240,1,Wan Studio,Wan Studio;windows,10,Action;Adventure;Indie,0;12,11,-3582
0-20000,1009690,1,Lotus GamesTr,Lotus GamesTr;windows,-2,RPG;Indie;Casual,0;45869,1,0
0-20000,341540,0,Axel Shokk,Axel Shokk;windows,0,Indie;Casual;Adventure,0;123,133,0
50000-100000,377430,0,Fervent,Afterthought Studios;windows;mac;linux,0,Indie;Visual Novel;Casual,0;46569,33,48
0-20000,464490,1,Frontwing,Frontwing USA;windows,0,Nudity;Visual Novel;Anime,0;12094,3,0
0-20000,822920,0,Red Mount Media Intl;Antarsoft,Red Mount Media Intl;windows,0,Indie;Gore;Violent,214;-3717,2,-1053
0-20000,765640,2,"Ryu Productions Co., Ltd","Ryu Productions Co., Ltd;Gamera Game;windows",0,Indie;Casual;Visual Novel,1;35005,16,-1507
20000-50000,404630,1,Sunlight Games,Sunlight Games;windows;mac;linux,-4,Casual;Indie;Strategy,1887;30,21,309
0-20000,955400,1,DID Games,DID Games;windows;mac,0,Sexual Content;Indie;Casual,0;23,2,0
20000-50000,370310,0,DreamsSoftGames,DreamsSoftGames;windows,0,Action;Casual;Adventure,0;33,57,0
0-20000,882910,1,"Naviworks Co.,Ltd.","Naviworks Co.,Ltd.;windows",0,Action;Adventure;Massively Multiplayer,0;9,9,0
0-20000,770050,1,Trederia,Trederia;windows;mac,0,Indie;Action;Retro,17;4,2,0
100000-200000,463040,1,Hipix Studio,Dagestan Technology;windows,0,Action;Indie;Casual,0;73,74,255
20000-50000,612790,0,The Pulse,The Pulse;windows,0,Free to Play;VR,0;36,18,0
0-20000,527890,1,ViquaSoft,Big Fish Games;windows,9,Casual;Simulation,0;3,1,0
0-20000,401250,2,Web Interactive Solutions,Web Interactive Solutions;windows,0,Strategy;Action;Indie,0;-10328,22,0
0-20000,877820,1,DRUNKEN APES,DRUNKEN APES;windows;mac,0,Simulation;Indie;Card Game,233;16,22,9834
0-20000,881250,0,SharkGame,FYRG;windows,0,Indie;Casual;Simulation,30;36,8,0
20000-50000,24410,1,NeocoreGames,Paradox Interactive;windows,0,Strategy;Medieval;Historical,0;13,11,0
0-20000,849350,1,PanTrojan Studio,PanTrojan Studio;windows,1,Adventure;Indie;Casual,0;3,1,-3381
0-20000,563360,1,Protection Games,Protection Games;windows,0,Early Access;Indie;Simulation,0;81,50,0
20000-50000,821670,0,Independent Arts Software;upjers,upjers;windows,-3,Casual;Free to Play;Simulation,1538;47620,54,0
50000-100000,992300,2,艺龙游戏,艺龙游戏;windows,0,Early Access;Action;Indie,29;1042,257,36
0-20000,808080,1,Applimazing,Applimazing;windows,0,Racing;Simulation;Sports,0;100,12,0
0-20000,938070,1,Sacada,Sacada;windows,0,Casual;Strategy;Indie,100;7,1,0
200000-500000,324800,1,Flying Wild Hog,Devolver Digital;windows,12,Action;Gore;FPS,64;10152,1406,547
200000-500000,841370,1,Visual Concepts,2K;windows,0,Sports;Basketball;Simulation,1443;3093,8080,2901
0-20000,873790,1,SeedWall,SeedWall;windows,8,Indie;Action;Third-Person Shooter,100;5,2,0
0-20000,741490,1,MMEU,Forever Entertainment S. A.;windows,1,Casual;Simulation;VR,0;18,27,0
0-20000,853760,1,Ophyer,Ophyer;windows,10,Adventure;RPG;Indie,16;3,4,0
0-20000,658790,0,Wako Factory,Wako Factory;windows;linux,0,Action;Adventure;Indie,24;51179,6,1542
0-20000,588890,1,IMPIRESOFT,IMPIRESOFT;windows;mac;linux,0,Strategy;RPG;Indie,20;40,18,0
50000-100000,261700,2,Xtal Sword,Xtal Sword;windows;linux,0,Platformer;Indie;Anime,32;1086,152,159
100000-200000,326190,1,Jetdogs Studios,Jetdogs Studios;windows;linux,0,Casual;Hidden Object;Adventure,15;775,231,12961
200000-500000,798420,1,MasterCode;Dueking,Ultimate Games S.A.;windows,0,Free to Play;Fishing;Simulation,0;331,211,72
1000000-2000000,394360,1,Paradox Development Studio,Paradox Interactive;windows;mac;linux,-2,Strategy;World War II;Grand Strategy,92;34711,5251,9413
0-20000,928690,0,Flying Panjandrum / ふらいんぐパンジャンドラム,Flying Panjandrum / ふらいんぐパンジャンドラム;windows,0,Strategy;Indie;Simulation,1998;4,0,-986
0-20000,981900,1,Azorian;kron0s_alexey;Pavel_Balakin,Elina Faritovna Balakina;windows,0,Indie;Casual;Strategy,0;2,1,0
200000-500000,381940,1,ILMxLAB,ILMxLAB;windows,0,Action;VR;Star Wars,0;949,227,-742
50000-100000,379640,1,winterworks GmbH,winterworks GmbH;windows,0,Indie;Action;Platformer,27;43714,16,1
0-20000,726430,1,Nikkatsu Corporation;mebius,Aksys Games;windows,11,Adventure;Indie;Horror,9;14,6,12051
0-20000,474880,1,Seen in a Dream;KLURA Design,Seen in a Dream;windows,1,Strategy;Adventure;RPG,0;1,0,0
0-20000,880610,1,JY Games,JY Games;windows,2,Action;Indie;Casual,9;32,3,0
50000-100000,226960,1,Zachtronics,Zachtronics;windows;mac;linux,8,Strategy;Indie;Card Game,1;381,170,142
20000-50000,621150,1,Amaterasu Software,Amaterasu Software;windows,0,RPG;RPGMaker,0;35035,8,236
20000-50000,713050,2,For Kids,For Kids;windows;mac;linux,0,Casual;Indie;Puzzle,43;48210,24,0
0-20000,921700,1,Cold Pressed Games,Cold Pressed Games;windows,0,Indie;Platformer;Local Multiplayer,10;7,1,0
0-20000,583060,1,Space Paw Studios,Space Paw Studios;windows,0,Adventure;Indie;Action,0;34735,6,8863
0-20000,996830,1,Gamenesis,Gamenesis;windows;mac,0,Early Access;Strategy;Indie,22;-14222,23,0
50000-100000,399780,1,Chris Johnson;Chris Larkin,Chris Johnson;Chris Larkin;windows;mac;linux,0,Indie;Great Soundtrack;Adventure,0;315,39,0
20000-50000,201070,1,Dark Artz Entertainment,Dark Artz Entertainment;windows,0,Action;Indie;Strategy,47;188,133,8
0-20000,505290,1,QuadraTron Games,QuadraTron Games;windows;mac;linux,0,Action;Indie;Arcade,1505;3,0,0
20000-50000,860890,1,Erik Asmussen,Erik Asmussen;windows;mac,0,Early Access;Simulation;Strategy,0;548,73,0
0-20000,758220,1,Night Apparatus,Night Apparatus;windows;linux,0,Adventure;Action;Indie,6;5,1,0
20000-50000,9980,1,Artech Studios,Retroism;windows,0,Casual;Puzzle;Relaxing,0;48,24,11354
0-20000,608530,1,Abyss Gameworks,Abyss Gameworks;windows;linux,0,Adventure;Indie;Action,8;92,80,8618
0-20000,670610,0,TeamTrap,TeamTrap;windows,0,Action;Indie;Platformer,103;65,1,0
0-20000,976240,1,Droid Riot,Droid Riot;windows,11,Action;Indie;Violent,0;0,3,0
0-20000,841200,2,Laush Dmitriy Sergeevich,Laush Studio;windows,9,Indie;Casual;Puzzle,12;3,1,0
0-20000,509170,2,OutOfBounds Software Solutions Inc,OutOfBounds Software Solutions Inc;windows,0,Casual;Action;Indie,11;7,8,11896
0-20000,589060,2,desunoya,Sekai Project;windows;linux,0,RPG;Strategy;Anime,17;48609,1,8968
20000-50000,333880,0,Tortuga Team,Tortuga Team;windows;mac;linux,0,RPG;Adventure;Indie,22;200,73,0
100000-200000,283680,0,Edelweiss,AGM PLAYISM;windows,0,Anime;Mechs;Shoot 'Em Up,40;1104,129,274
0-20000,328430,1,"MicroProse Software, Inc.",Retroism;Nightdive Studios;windows;mac;linux,0,Adventure;Point & Click;1990's,0;17,9,0
100000-200000,416590,1,Shawn Hitchcock,SKH Apps;windows;mac,0,Horror;Survival Horror;Indie,0;914,222,2916
0-20000,847790,1,Saoi Games,Saoi Games;windows,0,Indie;Simulation;VR,0;10,0,0
0-20000,865540,1,Vismaya,Vismaya;windows,0,Early Access;Simulation;Casual,40;158,6,0
0-20000,682270,1,Rhino Dev,Rhino Dev;windows,0,Indie;Action;2D Fighter,103;3,1,0
1000000-2000000,40950,1,FireFly Studios,FireFly Studios;windows,-1,Strategy;Medieval;Base-Building,0;2992,199,473
20000-50000,708340,1,Aerilon Studios,Aerilon Studios;windows,0,Action;Indie;Simulation,1305;53208,28,8344
0-20000,283470,0,Komar Games,Libredia;windows,0,Casual;Hidden Object;Puzzle,0;17315,35,0
20000-50000,591950,1,RepkaTechStudio,Freshtrax;windows,0,Indie;Strategy;Tower Defense,1521;19,15,314
0-20000,712660,2,Facundo Balboa;Iván Piccione;Martín Díaz,Facundo Balboa;windows;mac;linux,0,Indie;Adventure,0;53301,2,0
0-20000,966000,1,Crisp App Studio,Crisp App Studio;windows;mac,0,Indie;Casual;Adventure,5;19,5,0
20000-50000,306480,1,b-alive gmbh,b-alive gmbh;windows,1,Strategy;Casual;Simulation,0;28,10,0
0-20000,352760,1,Mechabit Ltd,Mechabit Ltd;windows;mac,-1,Action;Strategy;Indie,14;22,6,0
0-20000,729530,0,Winged Cloud,Winged Cloud;windows;mac;linux,0,Simulation;Anime;Visual Novel,9;63,24,0
0-20000,468800,1,Code Avarice,Digerati Distribution;windows;mac;linux,0,Action;Indie;Multiplayer,0;11599,26,282
0-20000,357690,1,RIP Studios LLC,RIP Studios LLC;windows,0,Action;Indie;Strategy,27;24,9,0
100000-200000,380020,2,Cats Who Play,Cats Who Play;windows,0,Indie;Action;Adventure,29;606,267,8758
0-20000,833300,2,Apillo,Apillo;windows,0,Action;Strategy;Adventure,12;3,23,0
2000000-5000000,346900,1,Hyper Hippo Games,Hyper Hippo Games;windows;mac;linux,0,Free to Play;Clicker;Capitalism,31;35093,4214,2747
0-20000,537450,2,Armature Studio;Comcept,Microsoft Studios;windows,0,Adventure;Action;Female Protagonist,1426;200,111,0
50000-100000,284830,1,Artifex Mundi,Artifex Mundi;windows;mac;linux,0,Hidden Object;Adventure;Casual,19;735,69,167
0-20000,837900,1,Zloy Krot Studio,Zloy Krot Studio;windows,0,Casual;Indie;Simulation,190;23857,20,0
20000-50000,60350,0,MumboJumbo,MumboJumbo;windows;mac,0,Casual;Adventure;Indie,25;80,11,0
0-20000,774711,1,Dreamz Studio,Dreamz Studio;windows;mac,0,Indie;Adventure;2D,73;69,18,0
50000-100000,496190,1,Kite & Lightning,Kite & Lightning;windows,0,Casual;Adventure;VR,1454;225,14,0
0-20000,874640,1,Life's Lane Studio,Life's Lane Studio;windows,0,Casual;Adventure;Indie,0;1,4,0
0-20000,365060,0,Silver Goblet Games,Silver Goblet Games;windows,8,Indie;Action;Adventure,11;39613,4,0
0-20000,913770,0,Wanana Games,Wanana Games;windows,0,Action;Adventure;Indie,521;2,1,0
0-20000,786720,2,eProdigy,advocatus;windows,10,Action;Indie;Casual,0;-9769,3,0
0-20000,675680,1,GaluluGame,GaluluGame;windows,0,Action;Indie;Casual,38;178,41,0
0-20000,959980,0,Garnudo Games,Garnudo Games;windows,12,Indie;Casual;Simulation,0;0,1,0
20000-50000,443860,1,Vector Unit,Vector Unit;windows,2,Racing;Multiplayer;Action,24;52250,21,12177
0-20000,820380,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games;windows,0,Action;Adventure;Indie,0;8,13,0
0-20000,1036490,1,Moraes Studio,Moraes Studio;windows,0,Action;Indie;Casual,27;45711,0,108
0-20000,548340,1,Overflow,Overflow;windows,0,Indie;Puzzle;VR,8;1227,15,0
500000-1000000,98200,2,Mode 7,Mode 7;windows;mac;linux,0,Strategy;Turn-Based;Tactical,16;1990,430,183
0-20000,860200,1,Nekyau Games,Nekyau;windows,9,Action;Indie;Casual,185;1,1,0
0-20000,655040,1,starmops,starmops;windows,0,Action;Adventure;Indie,-158;12,6,-2812
0-20000,748060,1,Vrai,Vrai;windows,0,Casual;VR,0;3,2,0
0-20000,713310,2,Mike Pickering,Mike Pickering;windows,0,Indie;Action;Platformer,0;10,1,0
50000-100000,286320,1,Nemoria Entertainment,Nemoria Entertainment;windows,12,Adventure;Indie;Point & Click,10;393,32,333
200000-500000,390340,1,CAPCOM,CAPCOM;windows,6,Action;Zombies;Multiplayer,41;633,1663,342
0-20000,796090,1,Eipix Entertainment,Big Fish Games;windows,0,Adventure;Casual;Hidden Object,0;1,0,0
0-20000,380000,1,Frogames,Frogames;windows;mac,12,Racing;Casual;Indie,0;16,11,0
0-20000,858370,2,vadimalexepta,vadimalexepta;windows,0,Casual;Action;Adventure,6;15,24,0
500000-1000000,15100,1,Ubisoft Montreal,Ubisoft;windows,0,Action;Adventure;Open World,0;5743,1162,360
0-20000,539270,1,Sanuk Games,Bigben Interactive;windows,9,Casual,10;34,11,0
0-20000,1032090,2,indie_games_studio,indie_games_studio;windows,0,Early Access;Strategy;Indie,10;2,0,0
0-20000,653100,1,Colorful Games,Colorful Games;windows,0,Action;Indie;Casual,59;1,0,8454
20000-50000,388340,1,Day Dreamer Games,Day Dreamer Games;windows,1,Indie;Platformer;Difficult,0;14838,88,0
100000-200000,575830,2,ChairKilling,Sometimes You;windows,0,Adventure;Action;Indie,26;82,48,283
0-20000,726760,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games;windows,-2,Nudity;Indie;Adventure,82;33,25,12184
0-20000,687360,2,Mike Laraman,Mike Laraman;windows,0,Indie;Platformer,0;13,0,1571
20000-50000,277700,0,Black Pants Studio,Black Pants Studio;windows;mac;linux,0,Indie;Platformer,61;139,14,0
50000-100000,753230,0,Appnormals Team,PQube Limited;windows;mac,0,Indie;Choices Matter;Adventure,31;240,102,0
0-20000,675990,1,Mutant Entertainment Studios,Mutant Entertainment Studios;windows;linux,-3,Indie;RPG;Casual,1613;-6145,4,0
0-20000,723100,1,Paweł Dywelski,Movie Games S.A.;windows,2,Simulation;Racing;Indie,0;13,2,0
50000-100000,623550,1,REX PEX GAMES,REX PEX GAMES;windows,0,Indie;Casual;Platformer,1373;36,31,304
200000-500000,105800,1,Q-Games Ltd.,Q-Games Ltd.;windows,2,Casual;Indie;Platformer,61;33990,140,1617
0-20000,520380,1,No-Brain Studio,No-Brain Studio;windows,0,Indie;Racing,33;20,27,0
100000-200000,337150,0,Handelabra Games Inc.,Handelabra Games Inc.;windows;mac;linux,0,Card Game;Board Game;Superhero,84;644,103,186
20000-50000,292280,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios;windows;mac;linux,0,Adventure;Casual;Family Friendly,0;469,12,0
20000-50000,451840,1,RocketWerkz,RocketWerkz;windows,0,Action;Strategy;VR,-10;517,92,-10
0-20000,1037540,1,Zotdinex,Zotdinex;windows,0,Action;Indie;Casual,1586;1,0,0
20000-50000,537090,1,NedoStudio,NedoStudio;windows,0,Action;Shoot 'Em Up,0;5,15,273
0-20000,882080,2,Space Maker Studio,Space Maker Studio;windows,0,Indie;Action;Shoot 'Em Up,47;-8016,1,0
0-20000,503750,1,Team KwaKwa,Digital Smash;windows;mac;linux,0,Indie;Action;Casual,13;4,2,0
20000-50000,233210,1,Games Farm,Games Farm;windows;mac;linux,0,Simulation;Action;Flight,16;63,169,0
0-20000,860340,1,Ripknot Systems,Ripknot Systems;windows,0,Casual;Action;Simulation,-517;8,4,9639
0-20000,867050,1,Sunward Games,Artifex Mundi;windows;mac;linux,0,Casual;Adventure;Hidden Object,2042;46731,5,0
50000-100000,847370,2,Insomniac Games;Blind Squirrel Games,Microsoft Studios;windows,16,Action;Adventure;Open World,80;2421,274,300
10000000-20000000,4000,1,Facepunch Studios,Valve;windows;mac;linux,0,Sandbox;Multiplayer;Funny,1409;363721,16433,12422
0-20000,1044770,0,Katus Game,KatusGame;windows;mac,0,Indie;Casual;Strategy,0;9,1,0
200000-500000,38600,1,Subsoap,Subsoap;windows;mac,0,Card Game;Casual;Indie,30;2147,207,266
0-20000,924500,0,Chen Jin,Chen Jin;windows,-2,Action;Indie;Casual,0;1,1,0
20000-50000,315830,2,Patrice Meneguzzi,Patrice Meneguzzi;windows;mac;linux,0,Action;Indie;Multiplayer,44;14902,18,0
0-20000,822900,1,Ripknot Systems,Ripknot Systems;windows,9,Strategy;Casual;Action,5000;14275,3,-8840
0-20000,365880,0,Kelkafa Studios;Cardboard Sword Limited;Jet Stone Studios,Kelkafa Studios;windows;mac;linux,1,Adventure;Indie;Point & Click,6;70,35,9844
200000-500000,518580,1,Crows Crows Crows;Squanch Games,Crows Crows Crows;windows,0,Adventure;Indie;VR,1381;2055,116,55
0-20000,745810,2,True Illusion Software,True Illusion Software;windows,0,Early Access;Adventure;Action,24;-13575,24,2365
0-20000,870890,1,National Film Board of Canada;Casa Rara,National Film Board of Canada;windows,0,Adventure;Indie;Casual,0;-107,0,10703
0-20000,520750,1,Mad Triangles,Mad Triangles;windows,0,Action;Indie;VR,4;17,1,0
0-20000,974390,1,RetroRevolution,RetroRevolution;windows;mac,11,Action;Indie;Platformer,25;10,0,0
100000-200000,470260,0,Ocelot Society,Ocelot Society;windows;mac,0,Adventure;Indie;Space,12;-919,335,131
20000-50000,507050,0,OPQAM,INTERNET URL S.A.;windows,10,Action;Indie;Simulation,-174;41,20,0
20000-50000,335660,1,roseVeRte,roseVeRte;windows;mac;linux,0,Visual Novel;Adventure;Indie,21;93,47,0
0-20000,649670,1,KT Games,KT Games;windows,0,Action;Adventure;Indie,20;19,14,0
0-20000,677910,1,Oscar Kenneth Albero Ingles,Oscar Kenneth Albero Ingles;windows,0,Action;Adventure;Indie,536;29,2,0
50000-100000,426690,2,stage-nana,Sekai Project;windows,0,Indie;Casual;Visual Novel,51;327,6,157
0-20000,413040,1,Cogg Games Ltd,Cogg Games Ltd;windows,8,Action;Adventure,376;3,2,0
20000-50000,681070,1,Vyacheslav Shilikhin,Vyacheslav Shilikhin;windows,0,Adventure;Indie;Casual,7;20,54,12661
500000-1000000,225300,1,Core Design,Square Enix;windows,12,Adventure;Action;Female Protagonist,1465;49295,115,3
0-20000,915190,0,SpeedFrame,SpeedFrame;windows;mac;linux,10,Indie;Puzzle;Physics,0;6,0,0
0-20000,1010650,1,Anti-Ded GameDev,Anti-Ded GameDev;windows,0,Action;Casual;Strategy,0;15,0,12747
0-20000,927310,0,清之鸣,清之鸣;windows,0,Strategy;RPG,0;77,11,0
0-20000,322130,1,Papaya Studio,Disney Interactive;windows,0,Adventure;Female Protagonist;Action,0;15,3,0
0-20000,744670,2,Muddy Pixel,Muddy Pixel;windows,0,Early Access;Action;Indie,0;55,23,0
200000-500000,778700,1,Team Amorous,Snaggletooth Studios;windows;mac;linux,0,Sexual Content;Nudity;Free to Play,400;10112,698,105
0-20000,667760,1,Gemi Games,Discovermypath;windows,8,Action;Indie;2D,1470;17,0,11453
0-20000,549180,0,The 3DO Company,2K;windows,0,Strategy;Action,-418;20,10,0
0-20000,525080,1,Eversim,Eversim;windows,0,Simulation;Strategy,0;12429,11,286
0-20000,809870,1,Pocket Trap,Modus Games;windows,0,Action;Indie;Adventure,1519;40,0,0
0-20000,313200,1,Crimson Cow,Strategy First;windows,0,Adventure;Point & Click,0;29,18,0
1000000-2000000,387290,2,Moon Studios GmbH,Microsoft Studios;windows,10,Atmospheric;Great Soundtrack;Platformer,57;15886,627,322
200000-500000,338530,1,Charyb Games,Charyb Games;windows,0,Casual;Action;Indie,21;181,128,268
0-20000,756980,1,Raymond Leung,Raymond Leung;windows,0,Strategy;Action;Adventure,0;583,0,0
0-20000,747050,1,Dmitry Poznukhov,Dmitry Poznukhov;windows;mac;linux,0,Indie;Casual;Adventure,15;52327,3,0
0-20000,736840,2,Blender Games,Blender Games;windows,0,Casual;Indie;Singleplayer,154;26,4,0
0-20000,805500,2,"Nikita ""Ghost_RUS""",Ghost_RUS Games;windows,0,Indie;Adventure;Casual,5;23,15,0
100000-200000,502520,1,Game-Labs,Game-Labs;windows;mac,0,Strategy;War;Historical,39;2461,407,0
0-20000,439420,0,AxiPLAY,AxiPLAY;windows;mac;linux,2,Adventure;Indie;Casual,23;25501,1,0
20000-50000,336130,0,Wadjet Eye Games,Wadjet Eye Games;windows,0,Adventure;Female Protagonist;Indie,19;292,33,67
0-20000,870590,1,Advent RPG,Advent RPG;windows,0,Early Access;Adventure;Action,8;4,0,0
0-20000,741560,1,Aproldvin,LEVER Software;windows,0,Indie;Casual;Great Soundtrack,0;49170,4,0
20000-50000,801020,1,AFBIK Studio,AFBIK Studio;windows,9,Action;Indie;Casual,63;35,36,0
0-20000,739190,1,LoopyMood,LoopyMood;windows;mac;linux,10,Adventure;Casual;Indie,13;36635,11,12643
0-20000,279070,2,Valorware,Valorware;windows,0,RPG;Adventure;Indie,20;99,19,8976
100000-200000,289760,1,Radial Games Corp;Loren Bednar;Dr. Kimberly Voll;Lindsay Jorgensen,Radial Games Corp;windows;mac;linux,3,Indie;Action;Casual,36;431,118,332
0-20000,706280,1,Rebelware Games,Rebelware Games;windows,0,Indie;Horror;Survival Horror,-512;41582,3,0
0-20000,496630,1,ebi-hime,ebi-hime;windows;mac;linux,0,Indie;Simulation;Visual Novel,1957;57,8,0
0-20000,1002830,1,Inner Realm Studios,Angels And Demons;windows;mac;linux,0,Indie;Simulation;Adventure,-205;8,4,2405
100000-200000,284790,2,Artifex Mundi,Artifex Mundi;windows;mac;linux,8,Hidden Object;Adventure;Casual,29;561,24,0
20000-50000,766370,1,Techland,Techland Publishing;windows,0,Early Access;Action;Battle Royale,0;860,351,103
0-20000,843360,1,Frymore,Maple Whispering Limited;windows,0,Action;Indie;RPG,1701;55,12,10857
0-20000,612160,1,MOKKOGRAD,MOKKOGRAD;windows,0,Action;Platformer;2D,6;13,0,0
0-20000,709840,1,Racing Bros,ANPA.US;windows;mac;linux,0,Action;Indie;Violent,1512;37,65,90
20000-50000,733790,1,PanicBarn,No More Robots;windows,0,Simulation;RPG;Point & Click,15;461,88,505
0-20000,878470,2,Tero Lunkka;Valkeala Software,Tero Lunkka;windows,0,Indie;Casual;Racing,576;9,7,0
0-20000,291030,1,Winter Wolves,Winter Wolves;windows;mac;linux,0,Visual Novel;Anime;Dating Sim,8;153,106,0
20000-50000,277270,0,Kheops Studio,Microids;windows,-1,Adventure;Casual;Point & Click,0;56,24,0
0-20000,743550,1,"Neon Chasm, LLC","Neon Chasm, LLC;windows",0,Action;Adventure;Indie,0;9,0,0
0-20000,845590,1,Marc Kruzik,Dimensional Studio;windows;mac;linux,0,Early Access;Simulation;Indie,-176;43984,2,0
50000-100000,266230,1,White Giant RPG Studios,White Giant RPG Studios;windows;mac;linux,0,RPG;Indie;RPGMaker,1640;368,67,0
0-20000,394990,1,frozenen,frozenen;windows;mac;linux,1,Action;Indie;Survival,0;3,6,0
0-20000,552460,1,Croteam VR,Devolver Digital;Croteam;windows;linux,11,VR;Action;Indie,-561;42159,16,64
0-20000,408440,0,The Tambourine,The Tambourine;windows,0,Early Access;Strategy;Indie,0;-11499,63,-2987
200000-500000,359050,1,marbenx,marbenx;windows,16,Nudity;Story Rich;Pixel Graphics,1835;41099,423,74
0-20000,546090,1,Walter Machado,Walter Machado;windows;linux,0,Indie;Action;Arcade,-183;115,10,-2539
0-20000,686640,0,Xefier Games Inc.,EvolVR Games Ltd.;windows,0,Early Access;Action;VR,12;5,4,0
20000-50000,591680,1,Catland,Catland;windows,0,Simulation;Indie;VR,16;99,5,11899
0-20000,802650,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games;windows,0,Indie;Casual;Racing,248;7,10,0
0-20000,1003650,0,ZHANG YAN,JXTD;windows,0,Adventure;Indie,148;52997,3,0
0-20000,337350,1,Messhof,Messhof;windows;mac,0,Action;Indie;Casual,46;176,8,0
0-20000,32120,2,MumboJumbo,MumboJumbo;windows,-6,Casual;Puzzle;Match 3,0;24,18,0
0-20000,687750,1,Tea & Cake Games,Tea & Cake Games;windows,10,Violent;Action;Indie,13;16501,80,0
0-20000,350200,1,Giant Spacekat,Giant Spacekat;windows,0,Memes;Walking Simulator;Villain Protagonist,0;16,44,0
20000-50000,286770,0,Zombie Studios,Retroism;windows,0,Action;FPS;First-Person,0;138,29,552
0-20000,649620,1,Kanda Technologies,Kanda Technologies Inc.;windows,10,VR;Casual;World War II,0;40,1,10560
0-20000,801340,1,A.Filimonov,A.Filimonov;windows,0,Simulation;Casual;RPG,47;2,6,0
500000-1000000,385760,1,Visual Concepts,2K;windows,0,Basketball;Sports;Multiplayer,49;4353,3893,1182
0-20000,877230,1,Dollon,Dualgm;windows,0,Casual;Sports,0;8,3,0
20000-50000,1002970,1,Total ArKade Software,TAKS;windows,0,Action;FPS;Shooter,0;2676,1,0
0-20000,593410,1,Growing Grass Studio,Growing Grass Studio;windows;mac;linux,0,Casual;Strategy;Indie,31;18,4,0
200000-500000,540020,1,RPG Video,Back To Basics Gaming;windows,0,Indie;RPG;RPGMaker,7;56,65,11684
20000-50000,387870,1,BTNcafe,BTNcafe;windows;mac;linux,0,Strategy;Action;Indie,36;95,23,13
20000-50000,622370,1,Mandragora,Mandragora;windows;mac,0,Action;Indie;Rogue-lite,42;108,64,23
50000-100000,371520,1,Corbie Games,Daedalic Entertainment;windows;mac,0,Simulation;Strategy;Indie,30;572,240,217
0-20000,619430,1,Hammer Games,Hammer Games;windows;mac;linux,0,Early Access;Strategy;Indie,1851;64,41,0
100000-200000,761890,1,Sandbox Interactive GmbH,Sandbox Interactive GmbH;windows;mac;linux,0,Massively Multiplayer;RPG;Crafting,1602;1800,1420,8218
0-20000,920800,0,GrowFall Studios,GrowFall Studios;windows,0,Indie;Casual,1;20179,1,388
0-20000,1058910,1,程亦晗个人工作室,tengenstudio;windows,8,Indie;Casual;Strategy,12;1,1,0
20000-50000,544520,1,AMS Game Development Association,AMS Game Development Association;windows;mac;linux,0,Free to Play;Indie;Puzzle,0;30,6,0
0-20000,829370,1,Minimallab,Minimallab;windows,0,Strategy;Adventure;Casual,10;36433,3,0
0-20000,545660,2,Koreez,Double Coconut;windows;mac,0,Adventure;Indie;Casual,2045;11,0,0
0-20000,837270,1,Matthew Wester,Mwester Studios;windows,0,Indie,0;4,1,1097
0-20000,582200,1,Intervoke,Intervoke;windows,10,Casual;Simulation;VR,0;4,1,0
0-20000,809770,0,Hunterx,Hunterx;windows,2,Indie;Casual;Simulation,0;4,24,0
0-20000,549880,1,Babeltime,Babeltime;windows,0,Early Access;Sports;VR,0;8,7,0
0-20000,619100,2,IndieRevo,IndieRevo;windows,0,Action;Indie;Casual,2;1,0,0
0-20000,736230,1,Collector_collector,Collector_collector;windows,0,Action;Adventure;Indie,0;1,0,0
0-20000,405550,1,FobTi interactive,FobTi interactive;windows,0,Indie;Action;Pixel Graphics,25;41077,6,10653
0-20000,656440,0,Render System,Render System;windows,0,Indie;Casual;Puzzle,20;-1568,6,0
0-20000,856420,0,WTFOMGames,WTFOMGames;windows,10,Indie;Casual,389;-9236,1,0
0-20000,648100,1,KEMCO,KEMCO;windows,0,Adventure;Indie;Violent,1432;188,6,0
0-20000,827130,1,Mzonestudio,Microïds Indie;windows,0,Adventure;Casual;Hidden Object,0;3,1,0
0-20000,609760,1,Choice of Games,Choice of Games;windows;mac;linux,0,Adventure;Indie;RPG,30;21,3,0
0-20000,770660,1,Tim Sheehan,Tim Sheehan;windows,0,Indie;Simulation;Sports,50;3,0,-783
100000-200000,350700,1,"L＆K CO., LTD","L＆K CO., LTD;windows",0,Free to Play;RPG;Massively Multiplayer,0;145,98,-2485
20000-50000,971460,0,Drago Software,Drago Software;windows,-2,Action;FPS;Shooter,15;27,12,0
100000-200000,344190,1,Tactic Studios Inc.,Tactic Studios Inc.;windows,0,Free to Play;Strategy;RPG,52;182,78,114
200000-500000,46410,1,ClockStone Studios,Meridian4;windows,9,RPG;Action;Action RPG,1499;348,175,1326
