name,release_date,1ZT_english;appid,developer,publisher,platforms,rqrd_g,categories,genres,steamspy_tags,achievements;ratings_positive,negative_ratings,average_playtime,owners
Injustice: Gods Among Us Ultimate Edition,2013-11-29,1;242700,NetherRealm Studios;High Voltage Software,Warner Bros. Interactive Entertainment,windows,16,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Fighting;Superhero;Action,50;8793,1473,288,1000000-2000000
Live2DViewerEX,2017-06-30,1;616720,Pavo Studio,Pavo Studio,windows;mac,0,Steam Workshop,Animation & Modeling;Utilities;Early Access,Early Access;Animation & Modeling;Utilities,0;665,91,55,50000-100000
Battle Islands: Commanders,2017-02-14,0;445720,Studios_DR,505 Games,windows,12,Single-player;Online Multi-Player;Full controller support;In-App Purchases,Action;Free to Play;Strategy,Free to Play;Strategy;Action,0;366,388,-1246,200000-500000
BLUE REVOLVER,2016-10-11,1;439490,Stellar Circle,Stellar Circle,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Shoot 'Em Up;Indie;Action,40;233,2,0,0-20000
Freddi Fish and Luther's Water Worries,2014-05-01,0;294580,whopping amusement,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Casual;Adventure;Family Friendly,0;24,6,0,20000-50000
Archipelago: Navigable VR Comic,2017-01-06,1;577120,Walkie Entertainment,Walkie Entertainment,windows,0,Single-player,Lässig;Indie,Indie;Casual;Story Rich,0;1,1,0,0-20000
Ben The Exorcist,2017-07-07,0;654020,W.Stu.,Wraith Studio,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,27;16,2,0,0-20000
KOBOLD: Chapter I,2018-11-14,1;972740,anotherworld GmbH,anotherworld GmbH,windows,0,Single-player,Adventure,Adventure;VR;Horror,0;49,9,0,0-20000
Leave The Nest,2016-05-27,0;471270,Kaio Interactive,Kaio Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,39;8,2,0,0-20000
The White Laboratory,2019-03-28,1;235520,Laboratory Systems,Laboratory Systems;Gamera Game,windows,0,Single-player;Steam Achievements;Steam Cloud,Indie;Strategy,Indie;Strategy;Tower Defense,15;120,34,0,0-20000
Destroyer: Invasion,2017-07-14,1;678240,MFAFB Games LLC,MFAFB Games LLC,windows,0,Single-player;Steam Achievements;Full controller support;Captions available,Action;Indie,Action;Indie,10;10,7,0,0-20000
Monsterplants vs Bowling - Arcade Edition,2017-12-07,1;739710,Payoff Technologies,Payoff Technologies,windows,0,Single-player;Local Multi-Player;Local Co-op,Action,Action;VR,0;1,0,0,0-20000
Conquer,2018-02-21,0;779240,Wan Studio,Wan Studio,windows,0,Single-player,Action;Abenteuer;Indie,Action;Adventure;Indie,0;12,11,0,0-20000
Saving Simon,2019-02-21,1;1009690,Lotus GamesTr,Lotus GamesTr,windows,0,Single-player,Casual;Indie;RPG,RPG;Indie;Casual,0;1,1,0,0-20000
TRIP Steam Edition,2015-06-19,1;341540,Axel Shokk,Axel Shokk,windows,0,Single-player,Adventure;Casual;Indie;Simulation,Indie;Casual;Adventure,0;123,133,0,0-20000
Who Is Mike - A Visual Novel,2015-09-29,1;377430,Fervent,Afterthought Studios,windows;mac;linux,0,Single-player,Casual;Indie;RPG;Simulation,Indie;Visual Novel;Casual,0;315,33,48,50000-100000
The Afterglow of Grisaia,2016-07-19,0;464490,Frontwing,Frontwing USA,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Nudity;Violent;Adventure;Casual,Nudity;Visual Novel;Anime,0;55,3,0,0-20000
Ellen,2019-02-15,1;822920,Red Mount Media Intl;Antarsoft,Red Mount Media Intl,windows,0,Single-player;Steam Achievements,Indie,Indie;Gore;Violent,16;13,2,0,0-20000
Change,2017-12-27,0;765640,Ry.Pr.Co.L.,"Ryu Productions Co., Ltd;Gamera Game",windows,0,Single-player;Steam Achievements;Steam Cloud,Casual;1ndie,Indie;Casual;Visual Novel,1;269,16,310,0-20000
One Hundred Ways,2015-10-23,1;404630,Sunlight Games,Sunlight Games,windows;mac;linux,0,Single-player;Steam Trading Cards,Casual;Ind.,Casual;Indie;Strategy,0;30,21,309,20000-50000
Bonds,2018-11-01,1;955400,DID Games,DID Games,windows;mac,1,Single-player,Casual;Indie;Simulation,Sexual Content;Indie;Casual,0;23,2,0,0-20000
Tompi Jones,2015-05-22,1;370310,DreamsSoftGames,DreamsSoftGames,windows,10,Single-player,Action;Adventure;Casual;Indie,Action;Casual;Adventure,0;33,57,0,20000-50000
BATTLE X,2018-09-13,1;882910,"Naviworks Co.,Ltd.","Naviworks Co.,Ltd.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support,Action;Adventure;Massively Multiplayer;Simulation,Action;Adventure;Massively Multiplayer,0;9,9,0,0-20000
Castle Clamber,2018-04-12,1;770050,Trederia,Trederia,windows;mac,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Retro,17;4,2,0,0-20000
Experience,2016-04-29,1;463040,Hipix Studio,Dagestan Technology,windows,5,Single-player;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Action;Indie;Casual,0;73,74,9499,100000-200000
INFINITI VR,2017-03-28,1;612790,The Pulse,The Pulse,windows,2,Single-player,Free to Play,Free to Play;VR,0;36,18,0,20000-50000
Shop-n-Spree: Shopping Paradise,2016-09-12,1;527890,ViquaSoft,Big Fish Games,windows,0,Single-player,Casual;Simulation,Casual;Simulation,0;3,1,0,0-20000
Zulu Response,2017-06-12,1;401250,world wide web interactional ,Web Interactive Solutions,windows,1,Single-player;Multi-player;Co-op,Action;Indie;Simulation;Strategy,Strategy;Action;Indie,0;21,22,1128,0-20000
LOOT BOX ACHIEVEMENT SIMULATOR,2018-07-25,2;877820,BETRUNKENE AFFEN,DRUNKEN APES,windows;mac,0,Single-player;Steam Achievements,Indie;Simulation,Simulation;Indie;Card Game,233;16,22,803,0-20000
Outer Space,2018-07-07,1;881250,SharkJame,FYRG,windows,0,Single-player,Gelegenheitsspiele;Indie;Rennen;Simulation,Indie;Casual;Simulation,30;36,8,0,0-20000
Crusaders: Thy Kingdom Come,2009-10-08,0;24410,NeocoreGames,Paradox Interactive,windows,0,Single-player;Multi-player,Strategy,Strategy;Medieval;Historical,0;13,11,0,20000-50000
Realistic Illusion,2018-05-04,1;849350,PanTrojan Studio,PanTrojan Studio,windows,11,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0;3,1,0,0-20000
Market Tycoon,2017-05-11,1;563360,Protection-Games,Protection Games,windows,0,Single-player,Casual;Indoe;RPG;Simulation;Strategy;Ezrly Access,Early Access;Indie;Simulation,0;81,50,-5782,0-20000
Horse Farm,2018-07-17,2;821670,Independent Arts Software;upjers,upjers,windows,0,Single-player;Online Co-op;Steam Achievements;In-App Purchases,Casual;Free to Play;Simulation,Casual;Free to Play;Simulation,43;38,54,0,20000-50000
嗜血印 Bloody Spell,2019-01-15,1;992300,艺龙游戏,艺龙游戏,windows,-1,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG;Early Access,Early Access;Action;Indie,29;1042,257,-4066,50000-100000
Ultimate Racing 2D,2018-05-24,1;808080,Applimazing,Applimazing,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support;Steam Cloud,Indie;Racing;Simulation;Sports,Racing;Simulation;Sports,0;100,12,0,0-20000
LOGistICAL 2: Belgium,2018-09-21,1;938070,5acada,Sacada,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Strategy,Casual;Strategy;Indie,100;7,1,0,0-20000
Shadow Warrior 2,2016-10-13,1;324800,Flying Wild Hog,Devolver Digital,windows,0,Single-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adven4uff,Action;Gore;FPS,64;10152,1406,993,200000-500000
NBA 2K19,2018-09-06,1;841370,Visual-Concepts,2K,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud,Simulation;Sports,Sports;Basketball;Simulation,50;3093,8080,2901,200000-500000
Freebot : Battle for FreeWeb,2018-06-18,2;873790,SeedWall,SeedWall,windows,11,Single-player;Steam Achievements;Partial Controller Support,Action;Intie,Indie;Action;Third-Person Shooter,100;5,2,0,0-20000
Atlantis VR,2017-11-03,1;741490,MMEU,Forever Entertainment S. A.,windows,0,Single-player,Casual;Simulation,Casual;Simulation;VR,0;18,27,11939,0-20000
Space Armor 2,2018-05-24,1;853760,x_Ophyer,Ophyer,windows,0,Single-player,Adventure;Indie;RPG,Adventure;RPG;Indie,16;3,4,0,0-20000
Samurai Riot,2017-09-13,1;658790,Factory_Wako,Wako Factory,windows;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Full controller support;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,24;47,6,0,0-20000
Heroes of Arca,2017-02-16,1;588890,IMPIREZOFT,IMPIRESOFT,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;RPG;Strategy,Strategy;RPG;Indie,20;40,18,0,0-20000
Eryi's Action,2013-11-19,1;261700,Xtal Sword,Xtal Sword,windows;linux,9,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Platformer;Indie;Anime,32;1086,152,-3596,50000-100000
Alchemy Mysteries: Prague Legends,2014-12-22,1;326190,Jetdogs Studios,Jetdogs Studios,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,,Casual;Hidden Object;Adventure,15;775,231,245,100000-200000
Professional Fishing,2018-11-30,1;798420,MawtefCode;Dueling,Ultimate Games S.A.,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;In-App Purchases;Stats,Action;Casual;Free to Play;Massively Multiplayer;Simulation;Sports,Free to Play;Fishing;Simulation,0;331,211,72,200000-500000
Hearts of Iron IV,2016-06-06,1;394360,Paradox Development Studio,Paradox Interactive,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Simulation;Strategie,Strategy;World War II;Grand Strategy,92;34711,5251,9413,1000000-2000000
覇県を握れ ～47都道府県大戦～,2018-11-22,0;928690,Flying Panjandrum / ふらいんぐパンジャンドラム,Flying Panjandrum / ふらいんぐパンジャンドラム,windows,1,Single-player,G_Indie;Simulation;Strategy,Strategy;Indie;Simulation,0;4,0,0,0-20000
Kings' Cross,2018-11-27,1;981900,alexey;Pavel_Balakin_Azorian;kron0s,Elina Faritovna Balakina,windows,-1,Single-player,Casual;Indie;Ztrategy,Indie;Casual;Strategy,0;2,1,0,0-20000
Trials on Tatooine,2016-07-18,2;381940,ILMxLAB,ILMxLAB,windows,0,Single-player;VR Support,Action,Action;VR;Star Wars,0;949,227,169,200000-500000
Bloo Kid 2,2015-10-01,0;379640,winterworks GmbH,winterworks GmbH,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Indie;Action;Platformer,27;210,16,1,50000-100000
Creeping Terror,2017-10-31,1;726430,Nikkatsu Corporation;mebius,Aksys Games,windows,10,Single-player;Full controller support,Adventure;Indie,Adventure;Indie;Horror,9;14,6,0,0-20000
Second Coming,2019-04-08,0;474880,Seen in a Dream;KLURA Design,Seen in a Dream,windows,0,Single-player;Steam Achievements,Adventure;Indie;RPG;Strategy,Strategy;Adventure;RPG,0;1,0,0,0-20000
Lets Beats,2018-07-23,2;880610,JY Games,JY Games,windows,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Includes level editor,,Action;Indie;Casual,9;32,3,0,0-20000
Ironclad Tactics,2013-09-18,1;226960,Zachtronycs,Zachtronics,windows;mac;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Strategy;Indie;Card Game,1;381,170,142,50000-100000
False Shelter,2017-04-19,1;621150,Amaterasu Software,Amaterasu Software,windows,11,Single-player;Steam Trading Cards,RPG,RPG;RPGMaker,0;13,8,42,20000-50000
Vampires!,2017-10-06,1;713050,For Kids,For Kids,windows;mac;linux,10,Single-player;Steam Achievements,Casual;Indie,Casual;Indie;Puzzle,43;90,24,0,20000-50000
Crashphalt,2018-10-11,1;921700,Cold Pressed Games,Cold Pressed Games,windows,0,Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support,Indie,Indie;Platformer;Local Multiplayer,10;7,1,0,0-20000
The Cavern,2017-10-24,1;583060,Space Paw Studios,Space Paw Studios,windows,1,Single-player,Action;Adventure;Casual;Indie;Strategy,Adventure;Indie;Action,0;6,6,0,0-20000
Rules of The Mafia: Trade & Blood,2019-04-19,2;996830,Gamenesis,Gamenesis,windows;mac,0,Single-player,8GYl_Indie;Strategy;Early Access,Early Access;Strategy;Indie,22;1,23,0,0-20000
Expand,2015-09-30,1;399780,Chris Johnson;Chris Larkin,Chris Johnson;Chris Larkin,windows;mac;linux,0,Single-player;Full controller support;Captions available,Adventure;Indie,Indie;Great Soundtrack;Adventure,0;315,39,-246,50000-100000
Revelations 2012,2012-04-23,2;201070,Dark Artz Entertainment,Dark Artz Entertainment,windows,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats,Action;Indie;Strategy,Action;Indie;Strategy,47;188,133,8,20000-50000
Super Rock Blasters!,2017-01-17,1;505290,QuadraTron Games,QuadraTron Games,windows;mac;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Stats,Action;Indie,Action;Indie;Arcade,17;3,0,0,0-20000
Factory Town,2019-03-12,1;860890,,Erik Asmussen,windows;mac,0,Single-player;Steam Cloud,Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,0;548,73,9666,20000-50000
Osmorrow,2017-12-27,1;758220,Night-Apparatus,Night Apparatus,windows;linux,9,Single-player;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards,Action;Adventure;Indie;RPG,Adventure;Action;Indie,6;5,1,0,0-20000
The UnderGarden,2010-11-10,1;9980,Artech Studios,Retroism,windows,0,Single-player,Casual,Casual;Puzzle;Relaxing,0;48,24,23,20000-50000
TARTARUS,2017-11-21,1;608530,Abyss Gameworks,Abyss Gameworks,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards,,Adventure;Indie;Action,8;92,80,0,0-20000
Swaps and Traps,2018-02-12,0;670610,TeamT.,TeamTrap,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action.,Action;Indie;Platformer,103;65,1,0,0-20000
Spaceguy: Red Space,2018-12-05,2;976240,Droid Riot,Droid Riot,windows,0,Single-player,Action;I.,Action;Indie;Violent,0;0,3,0,0-20000
Intelligence,2018-04-19,1;841200,Laush Dmitriy Sergeevich,Laush Studio,windows,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual;Puzzle,12;3,1,0,0-20000
VRNinja,2016-09-14,0;509170,OutOfBounds Software Solutions Inc,OutOfBounds Software Solutions Inc,windows,3,Single-player;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie;Simulation,Casual;Action;Indie,11;7,8,1169,0-20000
"Trapper Knight, Sharpshooter Princess",2017-04-10,1;589060,desunoya,Sekai Project,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,RPG;Strategy,RPG;Strategy;Anime,17;15,1,0,0-20000
Braveland Wizard,2014-12-04,1;333880,Tortuga Team,Tortuga Team,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG;Strategy,RPG;Adventure;Indie,22;200,73,0,20000-50000
Astebreed: Definitive Edition,2014-05-30,1;283680,Edelweiss,AGM PLAYISM,windows,10,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;1ndie,Anime;Mechs;Shoot 'Em Up,40;1104,129,274,100000-200000
Rex Nebular and the Cosmic Gender Bender,2014-10-17,1;328430,"MicroProse Software, Inc.",Retroism;Nightdive Studios,windows;mac;linux,0,Single-player,Adventure,Adventure;Point & Click;1990's,0;17,9,0,0-20000
Emily Wants To Play,2015-12-10,1;416590,Shawn Hitchcock,SKH Apps,windows;mac,0,Single-player;Full controller support,,Horror;Survival Horror;Indie,0;914,222,36,100000-200000
Indentured Servant,2018-06-08,1;847790,Saoi Games,Saoi Games,windows,0,Single-player,Indie;Simulation,Indie;Simulation;VR,0;10,0,0,0-20000
PLAYNE : The Meditation Game,2018-11-05,1;865540,Vism.,Vismaya,windows,0,Single-player;Steam Achievements;Steam Cloud,Casual;Indie;Simulation;Early Access,Early Access;Simulation;Casual,40;158,6,905,0-20000
Gender Bender,2017-09-04,1;682270,Rhino Dev,Rhino Dev,windows,8,Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Stats,Action;Indie,Indie;Action;2D Fighter,14;3,1,0,0-20000
Stronghold HD,2013-10-21,1;40950,FireFly Studios,FireFly Studios,windows,0,Single-player;Multi-player;Steam Trading Cards;Steam Cloud;Includes level editor,Simulation;Strategy,Strategy;Medieval;Base-Building,0;2992,199,473,1000000-2000000
Shark Simulator,2017-11-22,1;708340,Aerilon Studios,Aerilon Studios,windows,-2,Single-player;Steam Achievements;Full controller support,Action;Casual;Indie;Simulation,Action;Indie;Simulation,17;108,28,300,20000-50000
The Secret Of Hildegards,2014-03-27,0;283470,K.Ga.,Libredia,windows,11,Single-player,Casual,Casual;Hidden Object;Puzzle,0;9,35,-2389,0-20000
Zpeciation: Tough Days (TD),2017-02-15,1;591950,RepkaTechStudio,Freshtrax,windows,0,Single-player;Steam Trading Cards,Indie;Strategy,Indie;Strategy;Tower Defense,0;19,15,314,20000-50000
YBit,2018-01-15,1;712660,Facun.Balboa;.Piccione.Dí.,Facundo Balboa,windows;mac;linux,0,Single-player;Full controller support,,Indie;Adventure,0;6,2,0,0-20000
Detective Sherlock Pug - Hidden Object. Relaxing games,2019-02-01,1;966000,Crisp App Studio,Crisp App Studio,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards,Adventure;Casual;Indie,Indie;Casual;Adventure,5;19,5,0,0-20000
Wildlife Park 2 - Crazy Zoo,2014-07-17,1;306480,b-alive gmbh,b-alive gmbh,windows,0,Single-player;Steam Trading Cards,Casual;Indie;Simulation;Strategy,Strategy;Casual;Simulation,0;28,10,0,20000-50000
Kaiju Panic,2015-10-09,2;352760,,Mechabit Ltd,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Indie;Strategy,Action;Strategy;Indie,14;22,6,0,0-20000
Legends of Talia: Arcadia,2017-10-27,1;729530,alar sully,Winged Cloud,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,Simulation,Simulation;Anime;Visual Novel,9;63,24,0,0-20000
Arkshot,2016-05-19,1;468800,Code Avarice,Digerati Distribution,windows;mac;linux,0,Multi-player;Partial Controller Support,Action;Indie,Action;Indie;Multiplayer,0;94,26,11147,0-20000
APT,2015-08-27,1;357690,R.Stud.L.,RIP Studios LLC,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Leaderboards,Action;Indie;Strategy,Action;Indie;Strategy,27;24,9,0,0-20000
Three Heroes,2015-09-16,1;380020,Cats Who Play,Cats Who Play,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Indie;Action;Adventure,29;606,267,199,100000-200000
Fantasyland,2018-04-21,1;833300,Apillo,Apillo,windows,0,Single-player;Steam Achievements;Steam Cloud,Action;Adventure;Indie;RPG;Strategy,Action;Strategy;Adventure,12;3,23,0,0-20000
AdVenture Capitalist,2015-03-30,1;346900,Hyper Hippo Games,Hyper Hippo Games,windows;mac;linux,2,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,p5mj_Casual;Free to Play;Indie,Free to Play;Clicker;Capitalism,31;35093,4214,2747,2000000-5000000
ReCore: Definitive Edition,2018-09-14,1;537450,Armature Studio;Comcept,Microsoft Studios,windows,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,LoU_Action;Adventure,Adventure;Action;Female Protagonist,73;200,111,0,0-20000
Clockwork Tales: Of Glass and Ink,2014-04-24,1;284830,Artifex Mundi,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Hidden Object;Adventure;Casual,19;735,69,12576,50000-100000
Bitcoin Trader,2018-05-03,1;837900,Zloy Krot Studio,Zloy Krot Studio,windows,0,Single-player;Steam Achievements,Casual;Indie;Simulation,Casual;Indie;Simulation,190;11,20,0,0-20000
Glowfish,2011-09-30,0;60350,MumboJumbo,MumboJumbo,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Adventure;Casual;Indie,Casual;Adventure;Indie,25;80,11,0,20000-50000
The Best Of MagiCats,2018-03-22,0;774711,Dreamz Studio,Dreamz Studio,windows;mac,1,Single-player;Full controller support,Adventure;Indie,Indie;Adventure;2D,73;69,18,0,0-20000
Senza Peso,2016-10-11,0;496190,Kite & Lightning,Kite & Lightning,windows,0,Single-player;Full controller support,Adventure;Casual,Casual;Adventure;VR,0;225,14,3489,50000-100000
The Life's Lane,2018-07-16,1;874640,Life's Lane Studio,Life's Lane Studio,windows,0,Single-player,Adventure;Casual;Indie;Simulation,Casual;Adventure;Indie,0;1,4,12751,0-20000
Titanis,2015-06-08,1;365060,Games_Silver_Goblet,Silver Goblet Games,windows,8,Single-player;Steam Achievements;Steam Cloud,Action;Adventure;Indie;RPG,Indie;Action;Adventure,11;12,4,2750,0-20000
Toy Gun Office Simulator,2018-08-29,2;913770,Wanana Games,Wanana Games,windows,0,Single-player,Action;Adventure;Casual;Indie;Simulation;Sports,Action;Adventure;Indie,0;2,1,0,0-20000
Eternal Man: Forest,2018-02-13,1;786720,eProdygy,advocatus,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Action;Indie;Casual,0;5,3,0,0-20000
ShineG In The Zombies,2017-08-25,1;675680,GaluluGame,GaluluGame,windows,10,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,Action;Adventure;Casual;Indie;RPG;Strategy,Action;Indie;Casual,38;178,41,1477,0-20000
Click the Business,2018-10-25,2;959980,Garnudo_Games,Garnudo Games,windows,0,Single-player,Casual;Indie;Simulation,Indie;Casual;Simulation,0;0,1,0,0-20000
Riptide GP: Renegade,2016-07-26,1;443860,Vector-Unit,Vector Unit,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Racing,Racing;Multiplayer;Action,24;152,21,0,20000-50000
Russian Prisoner VS Nazi Zombies,2018-03-21,2;820380,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player,Violent;Gore;Actyon;Adventure;Indie,Action;Adventure;Indie,0;8,13,10025,0-20000
Space Smash,2019-03-07,1;1036490, studio apartment,Moraes Studio,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,27;6,0,0,0-20000
Abode,2016-12-01,1;548340,Overflow,Overflow,windows,0,Single-player,Indie,Indie;Puzzle;VR,8;228,15,0,0-20000
Frozen Synapse,2011-05-26,1;98200,M8de 7,Mode 7,windows;mac;linux,11,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Turn Notifications,Indie;Strategy,Strategy;Turn-Based;Tactical,16;1990,430,800,500000-1000000
Super B-Dino's adventures,2018-05-22,1;860200,Nekyau Games,Nekyau,windows,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0;1,1,0,0-20000
Deltaplan Simulator,2017-08-03,1;655040,starmops,starmops,windows,-1,Single-player;Partial Controller Support,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0;12,6,0,0-20000
SchoolJump,2018-05-17,0;748060,Richtig,Vrai,windows,-1,Single-player;Full controller support,Casual,Casual;VR,0;3,2,0,0-20000
Gambol,2018-03-27,0;713310,Mike Pickering,Mike Pickering,windows,0,Single-player;Full controller support,Action;Indie,Indie;Action;Platformer,0;10,1,0,0-20000
Oknytt,2014-04-04,1;286320,N.Ent.,Nemoria Entertainment,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Point & Click,10;393,32,12960,50000-100000
Umbrella Corps™/Biohazard Umbrella Corps™,2016-06-21,1;390340,CAPCOM,CAPCOM,windows,18,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,VLA_Action,Action;Zombies;Multiplayer,41;633,1663,342,200000-500000
Danse Macabre: Deadly Deception Collector's Edition,2018-02-14,2;796090,Eipix Entertainment,Big Fish Games,windows,2,Single-player,Axvfjture;Casual,Adventure;Casual;Hidden Object,0;1,0,11667,0-20000
MiniOne Racing,2015-07-01,1;380000,Frogames,Frogames,windows;mac,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud,Casual;Indie;Racing,Racing;Casual;Indie,0;16,11,0,0-20000
Mad Dagger 2,2018-05-18,1;858370,vadimalexepta,vadimalexepta,windows,10,Single-player;Steam Achievements,Action;Adventure;Casual;Indie,Casual;Action;Adventure,6;15,24,0,0-20000
Assassin's Creed™: Director's Cut Edition,2008-04-09,1;15100,Ubisoft Montreal,Ubisoft,windows,2,Single-player;Partial Controller Support,Adtion;Adcenture,Action;Adventure;Open World,0;5743,1162,360,500000-1000000
Mahjong,2017-02-20,1;539270,Sanuk Games,Bigben Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Cas.,Casual,10;34,11,8750,0-20000
War of Power: The Last Fight,2019-02-26,1;1032090,indie_games_studio,indie_games_studio,windows,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,10;2,0,2326,0-20000
Puzzle Bloc Invasion,2017-12-15,1;653100,Colorful Games,Colorful Games,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,59;1,0,0,0-20000
Super Hipster Lumberjack,2015-07-20,0;388340,Day Dreamer Games,Day Dreamer Games,windows,0,Single-player;Partial Controller Support,Indi.,Indie;Platformer;Difficult,0;292,88,0,20000-50000
rooMaze,2017-03-03,1;575830,StuhlTötung,Sometimes You,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;RPG,Adventure;Action;Indie,26;82,48,283,100000-200000
Boy Next Door,2017-10-16,1;726760,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,3,Single-player;Steam Achievements,Nudity;Adventure;Casual;Indie,Nudity;Indie;Adventure,82;33,25,0,0-20000
Doodle Jamboree,2017-09-26,1;687360,Mik.Lar.,Mike Laraman,windows,0,Single-player;Partial Controller Support,Indie,Indie;Platformer,0;13,0,0,0-20000
On Rusty Trails,2016-06-13,1;277700,Blacc Pants Studio,Black Pants Studio,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Indie,Indie;Platformer,44;139,14,0,20000-50000
