appid,V9_name,release_date,english,developer,publisher,platforms,genres,SteTa,Ach,positive_ratings,negative_ratings,average_playtime,M.P.,owners,v_price
1036490,Space Smash,2019-03-07,1,Moraes Studio,Moraes Studio,windows,Action;Casual;Indie,Action;Indie;Casual,27,6,0,0,0,0-20000,0.79
548340,Abode,2016-12-01,1,Overflow,Overflow,windows,Indie,Indie;Puzzle;VR,8,228,15,0,0,0-20000,6.99
98200,Frozen Synapse,2011-05-26,1,Mode 7,Mode 7,windows;mac;linux,Indie;Strategy,Strategy;Turn-Based;Tactical,16,1990,430,183,227,500000-1000000,18.99
860200,Super B-Dino's adventures,2018-05-22,1,Nekyau Games,Nekyau,windows,Action;Casual;Indie,Action;Indie;Casual,0,1,1,0,0,0-20000,0.79
655040,Deltaplan Simulator,2017-08-03,1,starmops,starmops,windows,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0,12,6,0,0,0-20000,3.99
748060,SchoolJump,2018-05-17,1,Vrai,Vrai,windows,Casual,Casual;VR,0,3,2,0,0,0-20000,0.79
713310,Gambol,2018-03-27,1,Mike Pickering,Mike Pickering,windows,Action;Indie,Indie;Action;Platformer,0,10,1,0,0,0-20000,6.99
286320,Oknytt,2014-04-04,1,Nemoria Entertainment,Nemoria Entertainment,windows,Adventure;Indie,Adventure;Indie;Point & Click,10,393,32,333,333,50000-100000,3.99
390340,Umbrella Corps™/Biohazard Umbrella Corps™,2016-06-21,1,CAPCOM,CAPCOM,windows,Action,Action;Zombies;Multiplayer,41,633,1663,342,342,200000-500000,14.99
796090,Danse Macabre: Deadly Deception Collector's Edition,2018-02-14,1,Eipix Entertainment,Big Fish Games,windows,Adventure;Casual,Adventure;Casual;Hidden Object,0,1,0,0,0,0-20000,7.19
380000,MiniOne Racing,2015-07-01,1,Frogames,Frogames,windows;mac,Casual;Indie;Racing,Racing;Casual;Indie,0,16,11,0,0,0-20000,3.99
858370,Mad Dagger 2,2018-05-18,1,vadimalexepta,vadimalexepta,windows,Action;Adventure;Casual;Indie,Casual;Action;Adventure,6,15,24,0,0,0-20000,0.79
15100,Assassin's Creed™: Director's Cut Edition,2008-04-09,1,Ubisoft Montreal,Ubisoft,windows,Action;Adventure,Action;Adventure;Open World,0,5743,1162,360,476,500000-1000000,8.59
539270,Mahjong,2017-02-20,1,Sanuk Games,Bigben Interactive,windows,Casual,Casual,10,34,11,0,0,0-20000,6.99
1032090,War of Power: The Last Fight,2019-02-26,1,indie_games_studio,indie_games_studio,windows,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,10,2,0,0,0,0-20000,5.79
653100,Puzzle Bloc Invasion,2017-12-15,1,Colorful Games,Colorful Games,windows,Action;Casual;Indie,Action;Indie;Casual,59,1,0,0,0,0-20000,2.24
388340,Super Hipster Lumberjack,2015-07-20,1,Day Dreamer Games,Day Dreamer Games,windows,Indie,Indie;Platformer;Difficult,0,292,88,0,0,20000-50000,0.32
575830,rooMaze,2017-03-03,1,ChairKilling,Sometimes You,windows,Action;Adventure;Indie;RPG,Adventure;Action;Indie,26,82,48,283,283,100000-200000,0.79
726760,Boy Next Door,2017-10-16,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,Nudity;Adventure;Casual;Indie,Nudity;Indie;Adventure,82,33,25,0,0,0-20000,0.79
687360,Doodle Jamboree,2017-09-26,1,Mike Laraman,Mike Laraman,windows,Indie,Indie;Platformer,0,13,0,0,0,0-20000,1.59
277700,On Rusty Trails,2016-06-13,1,Black Pants Studio,Black Pants Studio,windows;mac;linux,Indie,Indie;Platformer,44,139,14,0,0,20000-50000,9.99
753230,STAY,2018-05-16,1,Appnormals Team,PQube Limited,windows;mac,Adventure;Indie,Indie;Choices Matter;Adventure,31,240,102,0,0,50000-100000,9.29
675990,Questr,2017-10-27,1,Mutant Entertainment Studios,Mutant Entertainment Studios,windows;linux,Casual;Indie;RPG,Indie;RPG;Casual,9,13,4,0,0,0-20000,2.09
723100,Orbital Racer,2017-12-14,1,Paweł Dywelski,Movie Games S.A.,windows,Indie;Racing;Simulation,Simulation;Racing;Indie,0,13,2,0,0,0-20000,11.39
623550,Timen runner,2017-05-26,1,REX PEX GAMES,REX PEX GAMES,windows,Casual;Indie,Indie;Casual;Platformer,12,36,31,304,304,50000-100000,0.79
105800,PixelJunk™ Eden,2012-02-02,1,Q-Games Ltd.,Q-Games Ltd.,windows,Action;Casual;Indie,Casual;Indie;Platformer,61,558,140,65,74,200000-500000,6.99
520380,Camper Jumper Simulator,2017-01-02,1,No-Brain Studio,No-Brain Studio,windows,Indie;Racing,Indie;Racing,33,20,27,0,0,0-20000,1.99
337150,Sentinels of the Multiverse,2014-12-22,1,Handelabra Games Inc.,Handelabra Games Inc.,windows;mac;linux,Indie;Strategy,Card Game;Board Game;Superhero,84,644,103,186,186,100000-200000,6.99
292280,Spy Fox In: Cheese Chase,2014-05-29,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,Adventure;Casual,Adventure;Casual;Family Friendly,0,18,12,0,0,20000-50000,3.99
451840,Out of Ammo,2016-09-14,1,RocketWerkz,RocketWerkz,windows,Action;Indie;Strategy,Action;Strategy;VR,17,517,92,0,0,20000-50000,10.99
1037540,Brave knight runner,2019-03-17,1,Zotdinex,Zotdinex,windows,Action;Casual;Indie,Action;Indie;Casual,0,1,0,0,0,0-20000,0.79
537090,Die for the Empire,2016-10-07,1,NedoStudio,NedoStudio,windows,Action,Action;Shoot 'Em Up,0,5,15,273,273,20000-50000,0.79
882080,Star'Shoot,2018-09-27,1,Space Maker Studio,Space Maker Studio,windows,Action;Indie,Indie;Action;Shoot 'Em Up,47,16,1,0,0,0-20000,2.89
503750,SPLASH BLAST PANIC,2018-08-28,1,Team KwaKwa,Digital Smash,windows;mac;linux,Action;Casual;Indie,Indie;Action;Casual,13,4,2,0,0,0-20000,10.99
233210,Air Conflicts: Vietnam,2013-10-02,1,Games Farm,Games Farm,windows;mac;linux,Action;Simulation,Simulation;Action;Flight,16,63,169,0,0,20000-50000,11.39
860340,Trivia Vault: Toy Trivia,2018-05-25,1,Ripknot Systems,Ripknot Systems,windows,Action;Casual;Simulation,Casual;Action;Simulation,5000,8,4,0,0,0-20000,9.99
867050,Endless Fables 3: Dark Moor,2018-07-19,1,Sunward Games,Artifex Mundi,windows;mac;linux,Adventure;Casual,Casual;Adventure;Hidden Object,31,18,5,0,0,0-20000,11.39
847370,Sunset Overdrive,2018-11-16,1,Insomniac Games;Blind Squirrel Games,Microsoft Studios,windows,Action;Adventure,Action;Adventure;Open World,80,2421,274,300,300,50000-100000,14.99
4000,Garry's Mod,2006-11-29,1,Facepunch Studios,Valve,windows;mac;linux,Indie;Simulation,Sandbox;Multiplayer;Funny,29,363721,16433,12422,1875,10000000-20000000,6.99
1044770,Goddess of Math 数学女神,2019-03-25,1,Katus Game,KatusGame,windows;mac,Action;Casual;Indie;Strategy,Indie;Casual;Strategy,0,9,1,0,0,0-20000,0.79
38600,Faerie Solitaire,2010-09-17,1,Subsoap,Subsoap,windows;mac,Casual;Indie,Card Game;Casual;Indie,30,2147,207,266,262,200000-500000,6.99
924500,街头英雄 Street Heroes,2018-09-09,0,Chen Jin,Chen Jin,windows,Action;Casual;Indie,Action;Indie;Casual,0,1,1,0,0,0-20000,0.79
315830,Daedalus - No Escape,2014-10-28,1,Patrice Meneguzzi,Patrice Meneguzzi,windows;mac;linux,Action;Indie,Action;Indie;Multiplayer,44,98,18,0,0,20000-50000,3.99
822900,Trivia Vault: Golf Trivia,2018-03-29,1,Ripknot Systems,Ripknot Systems,windows,Action;Casual;Strategy,Strategy;Casual;Action,5000,19,3,0,0,0-20000,9.99
365880,Mirrored - Chapter 1,2015-10-30,1,Kelkafa Studios;Cardboard Sword Limited;Jet Stone Studios,Kelkafa Studios,windows;mac;linux,Adventure;Indie,Adventure;Indie;Point & Click,6,70,35,0,0,0-20000,1.59
518580,Accounting (Legacy),2016-10-18,1,Crows Crows Crows;Squanch Games,Crows Crows Crows,windows,Adventure;Indie,Adventure;Indie;VR,0,2055,116,55,82,200000-500000,0.0
745810,SAS,2018-06-06,1,True Illusion Software,True Illusion Software,windows,Action;Adventure;Massively Multiplayer;RPG;Strategy;Early Access,Early Access;Adventure;Action,24,87,24,0,0,0-20000,11.39
870890,Museum of Symmetry,2018-08-09,1,National Film Board of Canada;Casa Rara,National Film Board of Canada,windows,Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,0,35,0,0,0,0-20000,0.0
520750,DWVR,2017-09-26,1,Mad Triangles,Mad Triangles,windows,Action;Indie,Action;Indie;VR,4,17,1,0,0,0-20000,10.99
974390,Metaloid : Origin,2019-03-28,1,RetroRevolution,RetroRevolution,windows;mac,Action;Indie,Action;Indie;Platformer,25,10,0,0,0,0-20000,9.29
470260,Event[0],2016-09-14,1,Ocelot Society,Ocelot Society,windows;mac,Adventure;Indie,Adventure;Indie;Space,12,1339,335,131,131,100000-200000,14.99
507050,DOGOS,2016-09-06,1,OPQAM,INTERNET URL S.A.,windows,Action;Indie;Simulation,Action;Indie;Simulation,15,41,20,0,0,20000-50000,8.99
335660,CAFE 0 ~The Drowned Mermaid~,2015-01-29,1,roseVeRte,roseVeRte,windows;mac;linux,Adventure;Casual;Indie,Visual Novel;Adventure;Indie,21,93,47,0,0,20000-50000,4.99
649670,ZHUST - THE ILLUSION SOUL,2017-06-09,1,KT Games,KT Games,windows,Action;Adventure;Indie,Action;Adventure;Indie,20,19,14,0,0,0-20000,3.99
677910,Life on Mars Remake,2017-08-11,1,Oscar Kenneth Albero Ingles,Oscar Kenneth Albero Ingles,windows,Action;Adventure;Indie;RPG,Action;Adventure;Indie,21,29,2,0,0,0-20000,5.59
426690,Narcissu 10th Anniversary Anthology Project,2016-01-27,1,stage-nana,Sekai Project,windows,Casual;Indie,Indie;Casual;Visual Novel,0,327,6,157,157,50000-100000,1.99
413040,Eekeemoo - Splinters of the Dark Shard,2017-03-14,1,Cogg Games Ltd,Cogg Games Ltd,windows,Action;Adventure,Action;Adventure,22,3,2,0,0,0-20000,3.99
681070,The Slug,2017-08-04,1,Vyacheslav Shilikhin,Vyacheslav Shilikhin,windows,Adventure;Casual;Indie,Adventure;Indie;Casual,7,20,54,12661,12661,20000-50000,2.89
225300,Tomb Raider II,2012-11-28,1,Core Design,Square Enix,windows,Action;Adventure,Adventure;Action;Female Protagonist,0,805,115,3,3,500000-1000000,4.99
915190,Cartoony Cars 2,2018-11-09,1,SpeedFrame,SpeedFrame,windows;mac;linux,Indie,Indie;Puzzle;Physics,0,6,0,0,0,0-20000,0.0
1010650,T.A.P.,2019-01-31,1,Anti-Ded GameDev,Anti-Ded GameDev,windows,Action;Casual;Strategy,Action;Casual;Strategy,0,15,0,0,0,0-20000,5.79
927310,巴伦西亚传说：索菲亚的重生 Valencia Saga:Sophia's rebirth,2018-09-30,0,清之鸣,清之鸣,windows,RPG;Strategy,Strategy;RPG,0,77,11,0,0,0-20000,6.19
322130,Disney Princess: Enchanted Journey,2014-10-10,1,Papaya Studio,Disney Interactive,windows,Adventure,Adventure;Female Protagonist;Action,0,15,3,0,0,0-20000,15.49
744670,WORLDS AT WAR (Monitors & VR),2018-03-09,1,Muddy Pixel,Muddy Pixel,windows,Action;Indie;Simulation;Early Access,Early Access;Action;Indie,0,55,23,0,0,0-20000,15.49
778700,Amorous,2018-04-13,1,Team Amorous,Snaggletooth Studios,windows;mac;linux,Sexual Content;Free to Play;Indie;Simulation,Sexual Content;Nudity;Free to Play,45,2504,698,105,161,200000-500000,0.0
667760,Super Lumi Live,2017-09-05,1,Gemi Games,Discovermypath,windows,Action;Adventure;Indie,Action;Indie;2D,26,17,0,0,0,0-20000,6.99
549180,Army Men: Toys in Space,2017-12-20,1,The 3DO Company,2K,windows,Action;Strategy,Strategy;Action,0,20,10,0,0,0-20000,4.69
525080,The Race for the White House 2016,2016-09-08,1,Eversim,Eversim,windows,Simulation;Strategy,Simulation;Strategy,0,8,11,650,650,0-20000,10.99
809870,Ninjin: Clash of Carrots,2018-09-04,1,Pocket Trap,Modus Games,windows,Action;Adventure;Indie;RPG,Action;Indie;Adventure,33,40,0,0,0,0-20000,11.99
313200,The Abbey,2014-07-15,1,Crimson Cow,Strategy First,windows,Adventure,Adventure;Point & Click,0,29,18,0,0,0-20000,14.99
387290,Ori and the Blind Forest: Definitive Edition,2016-04-27,1,Moon Studios GmbH,Microsoft Studios,windows,Action,Atmospheric;Great Soundtrack;Platformer,57,15886,627,322,410,1000000-2000000,14.99
338530,Trouble In The Manor,2015-11-17,1,Charyb Games,Charyb Games,windows,Action;Casual;Indie,Casual;Action;Indie,21,181,128,268,234,200000-500000,0.79
756980,Raymond's Obstacle Course,2018-01-31,1,Raymond Leung,Raymond Leung,windows,Action;Adventure;Casual;Indie;Strategy,Strategy;Action;Adventure,0,2,0,0,0,0-20000,2.89
747050,Portal Journey: Portarius,2018-04-26,1,Dmitry Poznukhov,Dmitry Poznukhov,windows;mac;linux,Adventure;Casual;Indie,Indie;Casual;Adventure,15,19,3,0,0,0-20000,2.09
736840,aMAZE Double,2017-11-02,1,Blender Games,Blender Games,windows,Casual;Indie,Casual;Indie;Singleplayer,154,26,4,0,0,0-20000,0.79
805500,Dokkaebi Hentai Adventures,2018-02-28,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,Adventure;Casual;Indie,Indie;Adventure;Casual,5,23,15,0,0,0-20000,0.79
502520,Ultimate General: Civil War,2017-07-14,1,Game-Labs,Game-Labs,windows;mac,Indie;Simulation;Strategy,Strategy;War;Historical,39,2461,407,0,0,100000-200000,22.99
439420,SteelLIFE,2019-01-04,1,AxiPLAY,AxiPLAY,windows;mac;linux,Adventure;Casual;Indie,Adventure;Indie;Casual,23,15,1,0,0,0-20000,4.79
336130,Shardlight,2016-03-08,1,Wadjet Eye Games,Wadjet Eye Games,windows,Adventure;Indie;RPG,Adventure;Female Protagonist;Indie,19,292,33,67,67,20000-50000,10.99
870590,Moonbase Down,2018-06-19,1,Advent RPG,Advent RPG,windows,Action;Adventure;Indie;RPG;Early Access,Early Access;Adventure;Action,8,4,0,0,0,0-20000,1.99
741560,Space Lagat,2017-11-15,1,Aproldvin,LEVER Software,windows,Casual;Indie,Indie;Casual;Great Soundtrack,0,16,4,0,0,0-20000,0.79
801020,Golden Dungeons,2018-03-03,1,AFBIK Studio,AFBIK Studio,windows,Action;Casual;Indie,Action;Indie;Casual,63,35,36,0,0,20000-50000,0.79
739190,AntVentor,2018-05-17,1,LoopyMood,LoopyMood,windows;mac;linux,Adventure;Casual;Indie,Adventure;Casual;Indie,13,125,11,0,0,0-20000,4.99
279070,9th Dawn II,2016-10-17,1,Valorware,Valorware,windows,Action;Adventure;Indie;RPG,RPG;Adventure;Indie,20,99,19,0,0,0-20000,1.49
289760,ROCKETSROCKETSROCKETS,2015-05-01,1,Radial Games Corp;Loren Bednar;Dr. Kimberly Voll;Lindsay Jorgensen,Radial Games Corp,windows;mac;linux,Action;Casual;Indie;Sports;Strategy,Indie;Action;Casual,36,431,118,332,332,100000-200000,4.99
706280,Devil in the Pines,2017-09-29,1,Rebelware Games,Rebelware Games,windows,Indie,Indie;Horror;Survival Horror,3,17,3,0,0,0-20000,2.79
496630,Empty Horizons,2016-07-19,1,ebi-hime,ebi-hime,windows;mac;linux,Indie;Simulation,Indie;Simulation;Visual Novel,13,57,8,0,0,0-20000,1.99
1002830,Latte Stand Tycoon,2019-01-26,1,Inner Realm Studios,Angels And Demons,windows;mac;linux,Adventure;Casual;Indie;RPG;Simulation,Indie;Simulation;Adventure,0,8,4,0,0,0-20000,2.09
284790,Nightmares from the Deep 2: The Siren`s Call,2014-05-15,1,Artifex Mundi,Artifex Mundi,windows;mac;linux,Adventure;Casual,Hidden Object;Adventure;Casual,29,561,24,0,0,100000-200000,6.99
766370,Dying Light: Bad Blood,2018-09-13,1,Techland,Techland Publishing,windows,Action;RPG;Early Access,Early Access;Action;Battle Royale,0,860,351,103,108,20000-50000,15.49
843360,Rift Keeper,2019-01-14,1,Frymore,Maple Whispering Limited,windows,Action;Indie;RPG,Action;Indie;RPG,41,55,12,0,0,0-20000,7.19
612160,Splinter Zone,2017-06-01,1,MOKKOGRAD,MOKKOGRAD,windows,Action,Action;Platformer;2D,6,13,0,0,0,0-20000,3.49
709840,Bloody Glimpse,2017-10-04,1,Racing Bros,ANPA.US,windows;mac;linux,Violent;Gore;Action;Indie;Simulation,Action;Indie;Violent,1512,37,65,90,90,0-20000,3.99
733790,Not Tonight,2018-08-17,1,PanicBarn,No More Robots,windows,Adventure;RPG;Simulation,Simulation;RPG;Point & Click,15,461,88,505,505,20000-50000,15.49
878470,70 Seconds Survival,2018-08-08,1,Tero Lunkka;Valkeala Software,Tero Lunkka,windows,Casual;Indie;Racing,Indie;Casual;Racing,0,9,7,0,0,0-20000,1.69
291030,Always Remember Me,2014-04-18,1,Winter Wolves,Winter Wolves,windows;mac;linux,Casual;Indie;Simulation,Visual Novel;Anime;Dating Sim,8,153,106,0,0,0-20000,13.59
277270,Return to Mysterious Island 2,2014-03-06,1,Kheops Studio,Microids,windows,Adventure;Casual,Adventure;Casual;Point & Click,0,56,24,0,0,20000-50000,5.59
743550,COSMONAUT,2018-01-11,1,"Neon Chasm, LLC","Neon Chasm, LLC",windows,Action;Adventure;Indie,Action;Adventure;Indie,0,9,0,0,0,0-20000,5.19
845590,God is a Cube: Programming Robot Cubes,2018-10-11,1,Marc Kruzik,Dimensional Studio,windows;mac;linux,Indie;Simulation;Early Access,Early Access;Simulation;Indie,0,12,2,0,0,0-20000,11.99
266230,Last Dream,2014-03-13,1,White Giant RPG Studios,White Giant RPG Studios,windows;mac;linux,Indie;RPG,RPG;Indie;RPGMaker,236,368,67,0,0,50000-100000,6.99
394990,Habitus,2016-01-29,1,frozenen,frozenen,windows;mac;linux,Action;Indie,Action;Indie;Survival,0,3,6,0,0,0-20000,1.99
552460,Serious Sam VR: The Second Encounter,2017-04-04,1,Croteam VR,Devolver Digital;Croteam,windows;linux,Action;Indie,VR;Action;Indie,28,92,16,64,64,0-20000,29.99
408440,Dream Factory,2015-11-02,1,The Tambourine,The Tambourine,windows,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,0,18,63,0,0,0-20000,7.99
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,2015-09-02,1,marbenx,marbenx,windows,Action;Indie;Simulation,Nudity;Story Rich;Pixel Graphics,21,8258,423,74,121,200000-500000,0.79
546090,Trip to Vinelands,2016-10-21,1,Walter Machado,Walter Machado,windows;linux,Action;Indie,Indie;Action;Arcade,5,115,10,0,0,0-20000,0.79
686640,Space Panic Arena,2017-08-03,1,Xefier Games Inc.,EvolVR Games Ltd.,windows,Action;Early Access,Early Access;Action;VR,12,5,4,0,0,0-20000,11.99
591680,Taphouse VR,2018-09-27,1,Catland,Catland,windows,Indie;Simulation,Simulation;Indie;VR,16,99,5,0,0,20000-50000,0.0
802650,Russian AYE Race,2018-02-22,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,Casual;Indie;Racing,Indie;Casual;Racing,6,7,10,0,0,0-20000,0.79
1003650,Abandonment,2019-01-04,1,ZHANG YAN,JXTD,windows,Adventure;Indie,Adventure;Indie,0,0,3,0,0,0-20000,2.09
337350,Flywrench,2015-08-24,1,Messhof,Messhof,windows;mac,Action;Casual;Indie,Action;Indie;Casual,46,176,8,0,0,0-20000,4.99
32120,Chainz 2: Relinked,2009-07-13,1,MumboJumbo,MumboJumbo,windows,Casual,Casual;Puzzle;Match 3,0,24,18,0,0,0-20000,6.99
687750,Yandere School,2017-09-01,1,Tea & Cake Games,Tea & Cake Games,windows,Violent;Action;Indie,Violent;Action;Indie,13,101,80,0,0,0-20000,3.99
350200,Revolution 60,2016-09-06,1,Giant Spacekat,Giant Spacekat,windows,Adventure,Memes;Walking Simulator;Villain Protagonist,0,16,44,0,0,0-20000,6.99
286770,Shadow Ops: Red Mercury,2014-07-02,1,Zombie Studios,Retroism,windows,Action,Action;FPS;First-Person,0,138,29,0,0,20000-50000,4.99
649620,VR Battleship YAMATO,2017-08-17,1,Kanda Technologies,Kanda Technologies Inc.,windows,Casual,VR;Casual;World War II,0,40,1,0,0,0-20000,29.99
801340,Healer Simulator,2018-03-29,1,A.Filimonov,A.Filimonov,windows,Casual;RPG;Simulation,Simulation;Casual;RPG,47,2,6,0,0,0-20000,1.69
385760,NBA 2K17,2016-09-20,1,Visual Concepts,2K,windows,Sports,Basketball;Sports;Multiplayer,49,4353,3893,4672,4672,500000-1000000,39.99
877230,Welcome to the Pool Hall,2018-08-13,1,Dollon,Dualgm,windows,Casual;Sports,Casual;Sports,0,8,3,0,0,0-20000,0.79
1002970,Freefall 3050AD,2019-01-22,1,Total ArKade Software,TAKS,windows,Action,Action;FPS;Shooter,0,0,1,0,0,20000-50000,1.99
593410,Elven Legend,2017-03-08,1,Growing Grass Studio,Growing Grass Studio,windows;mac;linux,Casual;Indie;Strategy,Casual;Strategy;Indie,31,18,4,0,0,0-20000,1.59
540020,Final Quest II,2016-10-18,1,RPG Video,Back To Basics Gaming,windows,Indie;RPG,Indie;RPG;RPGMaker,7,56,65,206,208,200000-500000,0.79
387870,Mold on Pizza 🍕,2015-09-25,1,BTNcafe,BTNcafe,windows;mac;linux,Action;Casual;Indie;Strategy,Strategy;Action;Indie,36,95,23,13,13,20000-50000,4.79
622370,Freaky Awesome,2017-10-18,1,Mandragora,Mandragora,windows;mac,Action;Adventure;Indie,Action;Indie;Rogue-lite,42,108,64,23,23,20000-50000,6.99
371520,Bounty Train,2017-05-16,1,Corbie Games,Daedalic Entertainment,windows;mac,Indie;Simulation;Strategy,Simulation;Strategy;Indie,30,572,240,217,217,50000-100000,18.99
619430,World of Castles,2017-09-15,1,Hammer Games,Hammer Games,windows;mac;linux,Indie;Strategy;Early Access,Early Access;Strategy;Indie,0,64,41,0,0,0-20000,22.99
761890,Albion Online,2018-05-16,1,Sandbox Interactive GmbH,Sandbox Interactive GmbH,windows;mac;linux,Free to Play;Massively Multiplayer;RPG,Massively Multiplayer;RPG;Crafting,93,1800,1420,448,852,100000-200000,0.0
920800,Lab.Gen.,2018-08-29,1,GrowFall Studios,GrowFall Studios,windows,Casual;Indie,Indie;Casual,1,5,1,0,0,0-20000,1.69
1058910,胜利即正义! / Victory is justice！,2019-04-20,1,程亦晗个人工作室,tengenstudio,windows,Casual;Indie;Strategy,Indie;Casual;Strategy,12,1,1,0,0,0-20000,1.69
544520,The Puppet Master,2016-10-21,1,AMS Game Development Association,AMS Game Development Association,windows;mac;linux,Free to Play;Indie,Free to Play;Indie;Puzzle,0,30,6,0,0,20000-50000,0.0
829370,Nicky - The Home Alone Golf Ball,2018-04-13,1,Minimallab,Minimallab,windows,Action;Adventure;Casual;Indie;Strategy,Strategy;Adventure;Casual,10,18,3,0,0,0-20000,0.79
545660,Roofbot,2017-02-17,1,Koreez,Double Coconut,windows;mac,Adventure;Casual;Indie,Adventure;Indie;Casual,16,11,0,0,0,0-20000,3.99
837270,Tharn,2018-05-17,1,Matthew Wester,Mwester Studios,windows,Indie,Indie,0,4,1,0,0,0-20000,2.09
582200,The Physiology of the Eye,2017-01-19,1,Intervoke,Intervoke,windows,Casual;Simulation,Casual;Simulation;VR,0,4,1,0,0,0-20000,10.49
809770,DeerHunterX,2018-04-21,1,Hunterx,Hunterx,windows,Casual;Indie;Simulation,Indie;Casual;Simulation,0,4,24,0,0,0-20000,4.79
549880,RoboSports VR,2016-11-07,1,Babeltime,Babeltime,windows,Sports;Early Access,Early Access;Sports;VR,0,8,7,0,0,0-20000,0.0
619100,Spirit Guide Crucible,2017-04-24,1,IndieRevo,IndieRevo,windows,Action;Casual;Indie,Action;Indie;Casual,2,1,0,0,0,0-20000,1.59
736230,Salt Thrust,2017-11-18,1,Collector_collector,Collector_collector,windows,Action;Adventure;Casual;Indie;Simulation,Action;Adventure;Indie,0,1,0,0,0,0-20000,5.19
405550,Jet Set Knights,2016-04-07,1,FobTi interactive,FobTi interactive,windows,Action;Indie,Indie;Action;Pixel Graphics,25,46,6,0,0,0-20000,6.99
656440,Explomania,2018-02-22,1,Render System,Render System,windows,Casual;Indie,Indie;Casual;Puzzle,20,8,6,0,0,0-20000,2.89
856420,Glow Ball - Not A Billiard Puzzle Game,2018-05-18,1,WTFOMGames,WTFOMGames,windows,Casual;Indie,Indie;Casual,0,2,1,0,0,0-20000,2.89
648100,レイジングループ,2017-08-23,0,KEMCO,KEMCO,windows,Violent;Adventure;Indie,Adventure;Indie;Violent,0,188,6,0,0,0-20000,22.99
827130,Les Misérables: Jean Valjean,2018-04-03,1,Mzonestudio,Microïds Indie,windows,Adventure;Casual,Adventure;Casual;Hidden Object,0,3,1,0,0,0-20000,2.09
609760,The Eagle's Heir,2017-03-30,1,Choice of Games,Choice of Games,windows;mac;linux,Adventure;Indie;RPG,Adventure;Indie;RPG,30,21,3,0,0,0-20000,4.79
770660,Thetaball,2018-07-31,1,Tim Sheehan,Tim Sheehan,windows,Action;Indie;Simulation;Sports,Indie;Simulation;Sports,50,3,0,0,0,0-20000,7.19
350700,Red Stone Online,2015-04-01,1,"L＆K CO., LTD","L＆K CO., LTD",windows,Free to Play;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,0,145,98,12,12,100000-200000,0.0
971460,FPS Training,2018-12-14,1,Drago Software,Drago Software,windows,Action,Action;FPS;Shooter,15,27,12,0,0,20000-50000,3.99
344190,Immortal Empire,2015-12-03,1,Tactic Studios Inc.,Tactic Studios Inc.,windows,Free to Play;Indie;RPG;Strategy,Free to Play;Strategy;RPG,52,182,78,114,209,100000-200000,0.0
46410,Avencast: Rise of the Mage,2010-03-17,1,ClockStone Studios,Meridian4,windows,Action;Indie;RPG,RPG;Action;Action RPG,0,348,175,56,56,200000-500000,6.99
1039470,Over My Dead Pixel,2019-04-12,1,Minosh Digital,Minosh Digital,windows,Action;Indie,Action;Indie;Top-Down Shooter,10,12,0,0,0,0-20000,3.99
572520,Dropzone,2017-02-15,1,Sparkypants Studios LLC,Sparkypants Studios LLC,windows,Action;Free to Play;Strategy;Early Access,Early Access;Strategy;Free to Play,13,557,243,387,393,200000-500000,0.0
363890,RPG Maker MV,2015-10-23,1,KADOKAWA;Yoji Ojima,Degica,windows;mac;linux,Design & Illustration;Web Publishing,RPGMaker;Game Development;RPG,0,2344,324,331,331,200000-500000,60.99
429540,Prime World: Defenders 2,2018-11-29,1,Nival,Nival,windows,Free to Play;Massively Multiplayer;Strategy,Free to Play;Tower Defense;Strategy,44,543,110,0,0,100000-200000,0.0
899480,Girls Dance,2018-07-28,1,Girls Dance studio,Gilrs Dance studio,windows,Sexual Content;Nudity;Casual;Indie;Simulation,Nudity;Indie;Casual,0,43,24,0,0,0-20000,1.69
738760,the Line,2017-12-07,1,Marginal act,Marginal act,windows;mac;linux,Adventure;Indie;Simulation,Indie;Adventure;Simulation,15,20,12,0,0,0-20000,3.89
275810,7 Wonders of the Ancient World,2014-02-18,1,MumboJumbo,MumboJumbo,windows,Casual;Strategy,Casual;Strategy;Puzzle,0,60,31,0,0,20000-50000,4.99
622460,Steampunk Tower 2,2018-04-19,1,DreamGate,DreamGate,windows;mac,Action;Indie;Strategy,Action;Strategy;Tower Defense,30,142,32,0,0,20000-50000,6.99
509240,Lethal Brutal Racing,2016-08-05,1,Petrodiy-Games,Atriagames,windows,Action;Racing;Sports,Racing;Action;Sports,0,203,137,274,325,100000-200000,4.79
960200,One Night 2: The Beyond,2018-11-29,1,Dark Gaia Studios,Dark Gaia Studios,windows,Adventure;Indie,Adventure;Indie;Gore,0,2,0,0,0,0-20000,2.89
